Id	奖池id	格子索引	奖励id	奖励数量	权值
380	43	2	282102	125	20
381	43	3	282103	125	20
382	43	4	282104	125	20
383	43	5	282001	1	100000
384	43	6	282105	125	20
385	43	7	282106	125	20
386	43	8	282107	125	20
387	43	9	282108	125	20
388	44	1	282101	125	20
389	44	2	282102	125	20
390	44	3	282103	125	20
391	44	4	282104	125	20
392	44	5	282002	1	100000
393	44	6	282105	125	20
394	44	7	282106	125	20
395	44	8	282107	125	20
396	44	9	282108	125	20
397	45	1	282101	125	20
398	45	2	282102	125	20
399	45	3	282103	125	20
400	45	4	282104	125	20
401	45	5	282003	1	100000
402	45	6	282105	125	20
403	45	7	282106	125	20
404	45	8	282107	125	20
405	45	9	282108	125	20
406	46	1	282101	125	20
407	46	2	282102	125	20
408	46	3	282103	125	20
409	46	4	282104	125	20
410	46	5	282004	1	100000
411	46	6	282105	125	20
412	46	7	282106	125	20
413	46	8	282107	125	20
414	46	9	282108	125	20
415	47	1	282101	125	20
416	47	2	282102	125	20
417	47	3	282103	125	20
418	47	4	282104	125	20
419	47	5	282005	1	100000
420	47	6	282105	125	20
421	47	7	282106	125	20
422	47	8	282107	125	20
423	47	9	282108	125	20
424	48	1	282101	125	20
425	48	2	282102	125	20
426	48	3	282103	125	20
427	48	4	282104	125	20
428	48	5	282006	1	100000
429	48	6	282105	125	20
430	48	7	282106	125	20
431	48	8	282107	125	20
432	48	9	282108	125	20
433	49	1	282101	125	20
434	49	2	282102	125	20
435	49	3	282103	125	20
436	49	4	282104	125	20
437	49	5	282007	1	100000
438	49	6	282105	125	20
439	49	7	282106	125	20
440	49	8	282107	125	20
441	49	9	282108	125	20
442	50	1	282101	125	20
443	50	2	282102	125	20
444	50	3	282103	125	20
445	50	4	282104	125	20
446	50	5	282001	1	100000
447	50	6	282105	125	20
448	50	7	282106	125	20
449	50	8	282107	125	20
450	50	9	282108	125	20
451	51	1	282101	125	20
452	51	2	282102	125	20
453	51	3	282103	125	20
454	51	4	282104	125	20
455	51	5	282002	1	100000
456	51	6	282105	125	20
457	51	7	282106	125	20
458	51	8	282107	125	20
459	51	9	282108	125	20
460	52	1	282101	125	20
461	52	2	282102	125	20
462	52	3	282103	125	20
463	52	4	282104	125	20
464	52	5	282003	1	100000
465	52	6	282105	125	20
466	52	7	282106	125	20
467	52	8	282107	125	20
468	52	9	282108	125	20
469	53	1	282101	125	20
470	53	2	282102	125	20
471	53	3	282103	125	20
472	53	4	282104	125	20
473	53	5	282004	1	100000
474	53	6	282105	125	20
475	53	7	282106	125	20
476	53	8	282107	125	20
477	53	9	282108	125	20
478	54	1	282101	125	20
479	54	2	282102	125	20
480	54	3	282103	125	20
481	54	4	282104	125	20
482	54	5	282005	1	100000
483	54	6	282105	125	20
484	54	7	282106	125	20
485	54	8	282107	125	20
486	54	9	282108	125	20
487	55	1	282101	125	20
488	55	2	282102	125	20
489	55	3	282103	125	20
490	55	4	282104	125	20
491	55	5	282006	1	100000
492	55	6	282105	125	20
493	55	7	282106	125	20
494	55	8	282107	125	20
495	55	9	282108	125	20
496	56	1	282101	125	20
497	56	2	282102	125	20
498	56	3	282103	125	20
499	56	4	282104	125	20
500	56	5	282007	1	100000
501	56	6	282105	125	20
502	56	7	282106	125	20
503	56	8	282107	125	20
504	56	9	282108	125	20
505	57	1	282101	125	20
506	57	2	282102	125	20
507	57	3	282103	125	20
508	57	4	282104	125	20
509	57	5	282001	1	100000
510	57	6	282105	125	20
511	57	7	282106	125	20
512	57	8	282107	125	20
513	57	9	282108	125	20
514	58	1	282101	125	20
515	58	2	282102	125	20
516	58	3	282103	125	20
517	58	4	282104	125	20
518	58	5	282002	1	100000
519	58	6	282105	125	20
520	58	7	282106	125	20
521	58	8	282107	125	20
522	58	9	282108	125	20
523	59	1	282101	125	20
524	59	2	282102	125	20
525	59	3	282103	125	20
526	59	4	282104	125	20
527	59	5	282003	1	100000
528	59	6	282105	125	20
529	59	7	282106	125	20
530	59	8	282107	125	20
531	59	9	282108	125	20
532	60	1	282101	125	20
533	60	2	282102	125	20
534	60	3	282103	125	20
535	60	4	282104	125	20
536	60	5	282004	1	100000
537	60	6	282105	125	20
538	60	7	282106	125	20
539	60	8	282107	125	20
540	60	9	282108	125	20
541	61	1	282101	125	20
542	61	2	282102	125	20
543	61	3	282103	125	20
544	61	4	282104	125	20
545	61	5	282005	1	100000
546	61	6	282105	125	20
547	61	7	282106	125	20
548	61	8	282107	125	20
549	61	9	282108	125	20
550	62	1	282101	125	20
551	62	2	282102	125	20
552	62	3	282103	125	20
553	62	4	282104	125	20
554	62	5	282006	1	100000
555	62	6	282105	125	20
556	62	7	282106	125	20
557	62	8	282107	125	20
558	62	9	282108	125	20
559	63	1	282101	125	20
560	63	2	282102	125	20
561	63	3	282103	125	20
562	63	4	282104	125	20
563	63	5	282007	1	100000
564	63	6	282105	125	20
565	63	7	282106	125	20
566	63	8	282107	125	20
567	63	9	282108	125	20
568	64	1	282101	125	20
569	64	2	282102	125	20
570	64	3	282103	125	20
571	64	4	282104	125	20
572	64	5	282001	1	100000
573	64	6	282105	125	20
574	64	7	282106	125	20
575	64	8	282107	125	20
576	64	9	282108	125	20
577	65	1	282101	125	20
578	65	2	282102	125	20
579	65	3	282103	125	20
580	65	4	282104	125	20
581	65	5	282002	1	100000
582	65	6	282105	125	20
583	65	7	282106	125	20
584	65	8	282107	125	20
585	65	9	282108	125	20
586	66	1	282101	125	20
587	66	2	282102	125	20
588	66	3	282103	125	20
589	66	4	282104	125	20
590	66	5	282003	1	100000
591	66	6	282105	125	20
592	66	7	282106	125	20
593	66	8	282107	125	20
594	66	9	282108	125	20
595	67	1	282101	125	20
596	67	2	282102	125	20
597	67	3	282103	125	20
598	67	4	282104	125	20
599	67	5	282004	1	100000
600	67	6	282105	125	20
601	67	7	282106	125	20
602	67	8	282107	125	20
603	67	9	282108	125	20
604	68	1	282101	125	20
605	68	2	282102	125	20
606	68	3	282103	125	20
607	68	4	282104	125	20
608	68	5	282005	1	100000
609	68	6	282105	125	20
610	68	7	282106	125	20
611	68	8	282107	125	20
612	68	9	282108	125	20
613	69	1	282101	125	20
614	69	2	282102	125	20
615	69	3	282103	125	20
616	69	4	282104	125	20
617	69	5	282006	1	100000
618	69	6	282105	125	20
619	69	7	282106	125	20
620	69	8	282107	125	20
621	69	9	282108	125	20
622	70	1	282101	125	20
623	70	2	282102	125	20
624	70	3	282103	125	20
625	70	4	282104	125	20
626	70	5	282007	1	100000
627	70	6	282105	125	20
628	70	7	282106	125	20
629	70	8	282107	125	20
630	70	9	282108	125	20
