id	client_name	部位id(武器110以上(剑110)，头盔101，衣服102，腰带103，裤子104，鞋子105，时装106，戒指107，徽章108，魂器109,装备类型必须大于100,因为物品类型小于100)	角色id	强化等级	强化获得属性AttrId（当前等级对应属性的绝对值，非累加）	附加属性	[{下降等级,百分比}]	消耗id	武器强化特效，[]是equip_effect表ID
10102008	战士衣服强化8	102	1	8	10310008		[{0,100}]	1008	
10102009	战士衣服强化9	102	1	9	10310009		[{0,100}]	1009	
10102010	战士衣服强化10	102	1	10	10310010		[{0,100}]	1010	
10102011	战士衣服强化11	102	1	11	10310011		[{0,100}]	1011	
10102012	战士衣服强化12	102	1	12	10310012		[{0,100}]	1012	
10102013	战士衣服强化13	102	1	13	10310013		[{0,100}]	1013	
10102014	战士衣服强化14	102	1	14	10310014		[{0,100}]	1014	
10102015	战士衣服强化15	102	1	15	10310015		[{0,100}]	1015	
10102016	战士衣服强化16	102	1	16	10310016		[{0,100}]	1016	
10102017	战士衣服强化17	102	1	17	10310017		[{0,100}]	1017	
10102018	战士衣服强化18	102	1	18	10310018		[{0,100}]	1018	
10102019	战士衣服强化19	102	1	19	10310019		[{0,100}]	1019	
10102020	战士衣服强化20	102	1	20	10310020		[{0,100}]	1020	
10102021	战士衣服强化21	102	1	21	10310021		[{0,100}]	1021	
10102022	战士衣服强化22	102	1	22	10310022		[{0,100}]	1022	
10102023	战士衣服强化23	102	1	23	10310023		[{0,100}]	1023	
10102024	战士衣服强化24	102	1	24	10310024		[{0,100}]	1024	
10102025	战士衣服强化25	102	1	25	10310025		[{0,100}]	1025	
10102026	战士衣服强化26	102	1	26	10310026		[{0,100}]	1026	
10102027	战士衣服强化27	102	1	27	10310027		[{0,100}]	1027	
10102028	战士衣服强化28	102	1	28	10310028		[{0,100}]	1028	
10102029	战士衣服强化29	102	1	29	10310029		[{0,100}]	1029	
10102030	战士衣服强化30	102	1	30	10310030		[{0,100}]	1030	
10102031	战士衣服强化31	102	1	31	10310031		[{0,100}]	1031	
10102032	战士衣服强化32	102	1	32	10310032		[{0,100}]	1032	
10102033	战士衣服强化33	102	1	33	10310033		[{0,100}]	1033	
10102034	战士衣服强化34	102	1	34	10310034		[{0,100}]	1034	
10102035	战士衣服强化35	102	1	35	10310035		[{0,100}]	1035	
10102036	战士衣服强化36	102	1	36	10310036		[{0,100}]	1036	
10102037	战士衣服强化37	102	1	37	10310037		[{0,100}]	1037	
10102038	战士衣服强化38	102	1	38	10310038		[{0,100}]	1038	
10102039	战士衣服强化39	102	1	39	10310039		[{0,100}]	1039	
10102040	战士衣服强化40	102	1	40	10310040		[{0,100}]	1040	
10102041	战士衣服强化41	102	1	41	10310041		[{0,100}]	1041	
10102042	战士衣服强化42	102	1	42	10310042		[{0,100}]	1042	
10102043	战士衣服强化43	102	1	43	10310043		[{0,100}]	1043	
10102044	战士衣服强化44	102	1	44	10310044		[{0,100}]	1044	
10102045	战士衣服强化45	102	1	45	10310045		[{0,100}]	1045	
10102046	战士衣服强化46	102	1	46	10310046		[{0,100}]	1046	
10102047	战士衣服强化47	102	1	47	10310047		[{0,100}]	1047	
10102048	战士衣服强化48	102	1	48	10310048		[{0,100}]	1048	
10102049	战士衣服强化49	102	1	49	10310049		[{0,100}]	1049	
10102050	战士衣服强化50	102	1	50	10310050		[{0,100}]	1050	
10102051	战士衣服强化51	102	1	51	10310051		[{0,100}]	1051	
10102052	战士衣服强化52	102	1	52	10310052		[{0,100}]	1052	
10102053	战士衣服强化53	102	1	53	10310053		[{0,100}]	1053	
10102054	战士衣服强化54	102	1	54	10310054		[{0,100}]	1054	
10102055	战士衣服强化55	102	1	55	10310055		[{0,100}]	1055	
10102056	战士衣服强化56	102	1	56	10310056		[{0,100}]	1056	
10102057	战士衣服强化57	102	1	57	10310057		[{0,100}]	1057	
10102058	战士衣服强化58	102	1	58	10310058		[{0,100}]	1058	
10102059	战士衣服强化59	102	1	59	10310059		[{0,100}]	1059	
10102060	战士衣服强化60	102	1	60	10310060		[{0,100}]	1060	
10102061	战士衣服强化61	102	1	61	10310061		[{0,100}]	1061	
10102062	战士衣服强化62	102	1	62	10310062		[{0,100}]	1062	
10102063	战士衣服强化63	102	1	63	10310063		[{0,100}]	1063	
10102064	战士衣服强化64	102	1	64	10310064		[{0,100}]	1064	
10102065	战士衣服强化65	102	1	65	10310065		[{0,100}]	1065	
10102066	战士衣服强化66	102	1	66	10310066		[{0,100}]	1066	
10102067	战士衣服强化67	102	1	67	10310067		[{0,100}]	1067	
10102068	战士衣服强化68	102	1	68	10310068		[{0,100}]	1068	
10102069	战士衣服强化69	102	1	69	10310069		[{0,100}]	1069	
10102070	战士衣服强化70	102	1	70	10310070		[{0,100}]	1070	
10102071	战士衣服强化71	102	1	71	10310071		[{0,100}]	1071	
10102072	战士衣服强化72	102	1	72	10310072		[{0,100}]	1072	
10102073	战士衣服强化73	102	1	73	10310073		[{0,100}]	1073	
10102074	战士衣服强化74	102	1	74	10310074		[{0,100}]	1074	
10102075	战士衣服强化75	102	1	75	10310075		[{0,100}]	1075	
10102076	战士衣服强化76	102	1	76	10310076		[{0,100}]	1076	
10102077	战士衣服强化77	102	1	77	10310077		[{0,100}]	1077	
10102078	战士衣服强化78	102	1	78	10310078		[{0,100}]	1078	
10102079	战士衣服强化79	102	1	79	10310079		[{0,100}]	1079	
10102080	战士衣服强化80	102	1	80	10310080		[{0,100}]	1080	
10102081	战士衣服强化81	102	1	81	10310081		[{0,100}]	1081	
10102082	战士衣服强化82	102	1	82	10310082		[{0,100}]	1082	
10102083	战士衣服强化83	102	1	83	10310083		[{0,100}]	1083	
10102084	战士衣服强化84	102	1	84	10310084		[{0,100}]	1084	
10102085	战士衣服强化85	102	1	85	10310085		[{0,100}]	1085	
10102086	战士衣服强化86	102	1	86	10310086		[{0,100}]	1086	
10102087	战士衣服强化87	102	1	87	10310087		[{0,100}]	1087	
10102088	战士衣服强化88	102	1	88	10310088		[{0,100}]	1088	
10102089	战士衣服强化89	102	1	89	10310089		[{0,100}]	1089	
10102090	战士衣服强化90	102	1	90	10310090		[{0,100}]	1090	
10102091	战士衣服强化91	102	1	91	10310091		[{0,100}]	1091	
10102092	战士衣服强化92	102	1	92	10310092		[{0,100}]	1092	
10102093	战士衣服强化93	102	1	93	10310093		[{0,100}]	1093	
10102094	战士衣服强化94	102	1	94	10310094		[{0,100}]	1094	
10102095	战士衣服强化95	102	1	95	10310095		[{0,100}]	1095	
10102096	战士衣服强化96	102	1	96	10310096		[{0,100}]	1096	
10102097	战士衣服强化97	102	1	97	10310097		[{0,100}]	1097	
10102098	战士衣服强化98	102	1	98	10310098		[{0,100}]	1098	
10102099	战士衣服强化99	102	1	99	10310099		[{0,100}]	1099	
10102100	战士衣服强化100	102	1	100	10310100		[{0,100}]	1100	
10103000	战士腰带强化0	103	1	0	10410000		[{0,100}]	1	
10103001	战士腰带强化1	103	1	1	10410001		[{0,100}]	1201	
10103002	战士腰带强化2	103	1	2	10410002		[{0,100}]	1202	
10103003	战士腰带强化3	103	1	3	10410003		[{0,100}]	1203	
10103004	战士腰带强化4	103	1	4	10410004		[{0,100}]	1204	
10103005	战士腰带强化5	103	1	5	10410005		[{0,100}]	1205	
10103006	战士腰带强化6	103	1	6	10410006		[{0,100}]	1206	
10103007	战士腰带强化7	103	1	7	10410007		[{0,100}]	1207	
10103008	战士腰带强化8	103	1	8	10410008		[{0,100}]	1208	
10103009	战士腰带强化9	103	1	9	10410009		[{0,100}]	1209	
10103010	战士腰带强化10	103	1	10	10410010		[{0,100}]	1210	
10103011	战士腰带强化11	103	1	11	10410011		[{0,100}]	1211	
10103012	战士腰带强化12	103	1	12	10410012		[{0,100}]	1212	
10103013	战士腰带强化13	103	1	13	10410013		[{0,100}]	1213	
10103014	战士腰带强化14	103	1	14	10410014		[{0,100}]	1214	
10103015	战士腰带强化15	103	1	15	10410015		[{0,100}]	1215	
10103016	战士腰带强化16	103	1	16	10410016		[{0,100}]	1216	
10103017	战士腰带强化17	103	1	17	10410017		[{0,100}]	1217	
10103018	战士腰带强化18	103	1	18	10410018		[{0,100}]	1218	
10103019	战士腰带强化19	103	1	19	10410019		[{0,100}]	1219	
10103020	战士腰带强化20	103	1	20	10410020		[{0,100}]	1220	
10103021	战士腰带强化21	103	1	21	10410021		[{0,100}]	1221	
10103022	战士腰带强化22	103	1	22	10410022		[{0,100}]	1222	
10103023	战士腰带强化23	103	1	23	10410023		[{0,100}]	1223	
10103024	战士腰带强化24	103	1	24	10410024		[{0,100}]	1224	
10103025	战士腰带强化25	103	1	25	10410025		[{0,100}]	1225	
10103026	战士腰带强化26	103	1	26	10410026		[{0,100}]	1226	
10103027	战士腰带强化27	103	1	27	10410027		[{0,100}]	1227	
10103028	战士腰带强化28	103	1	28	10410028		[{0,100}]	1228	
10103029	战士腰带强化29	103	1	29	10410029		[{0,100}]	1229	
10103030	战士腰带强化30	103	1	30	10410030		[{0,100}]	1230	
10103031	战士腰带强化31	103	1	31	10410031		[{0,100}]	1231	
10103032	战士腰带强化32	103	1	32	10410032		[{0,100}]	1232	
10103033	战士腰带强化33	103	1	33	10410033		[{0,100}]	1233	
10103034	战士腰带强化34	103	1	34	10410034		[{0,100}]	1234	
10103035	战士腰带强化35	103	1	35	10410035		[{0,100}]	1235	
10103036	战士腰带强化36	103	1	36	10410036		[{0,100}]	1236	
10103037	战士腰带强化37	103	1	37	10410037		[{0,100}]	1237	
10103038	战士腰带强化38	103	1	38	10410038		[{0,100}]	1238	
10103039	战士腰带强化39	103	1	39	10410039		[{0,100}]	1239	
10103040	战士腰带强化40	103	1	40	10410040		[{0,100}]	1240	
10103041	战士腰带强化41	103	1	41	10410041		[{0,100}]	1241	
10103042	战士腰带强化42	103	1	42	10410042		[{0,100}]	1242	
10103043	战士腰带强化43	103	1	43	10410043		[{0,100}]	1243	
10103044	战士腰带强化44	103	1	44	10410044		[{0,100}]	1244	
10103045	战士腰带强化45	103	1	45	10410045		[{0,100}]	1245	
10103046	战士腰带强化46	103	1	46	10410046		[{0,100}]	1246	
10103047	战士腰带强化47	103	1	47	10410047		[{0,100}]	1247	
10103048	战士腰带强化48	103	1	48	10410048		[{0,100}]	1248	
10103049	战士腰带强化49	103	1	49	10410049		[{0,100}]	1249	
10103050	战士腰带强化50	103	1	50	10410050		[{0,100}]	1250	
10103051	战士腰带强化51	103	1	51	10410051		[{0,100}]	1251	
10103052	战士腰带强化52	103	1	52	10410052		[{0,100}]	1252	
10103053	战士腰带强化53	103	1	53	10410053		[{0,100}]	1253	
10103054	战士腰带强化54	103	1	54	10410054		[{0,100}]	1254	
10103055	战士腰带强化55	103	1	55	10410055		[{0,100}]	1255	
10103056	战士腰带强化56	103	1	56	10410056		[{0,100}]	1256	
10103057	战士腰带强化57	103	1	57	10410057		[{0,100}]	1257	
10103058	战士腰带强化58	103	1	58	10410058		[{0,100}]	1258	
10103059	战士腰带强化59	103	1	59	10410059		[{0,100}]	1259	
10103060	战士腰带强化60	103	1	60	10410060		[{0,100}]	1260	
10103061	战士腰带强化61	103	1	61	10410061		[{0,100}]	1261	
10103062	战士腰带强化62	103	1	62	10410062		[{0,100}]	1262	
10103063	战士腰带强化63	103	1	63	10410063		[{0,100}]	1263	
10103064	战士腰带强化64	103	1	64	10410064		[{0,100}]	1264	
10103065	战士腰带强化65	103	1	65	10410065		[{0,100}]	1265	
10103066	战士腰带强化66	103	1	66	10410066		[{0,100}]	1266	
10103067	战士腰带强化67	103	1	67	10410067		[{0,100}]	1267	
10103068	战士腰带强化68	103	1	68	10410068		[{0,100}]	1268	
10103069	战士腰带强化69	103	1	69	10410069		[{0,100}]	1269	
10103070	战士腰带强化70	103	1	70	10410070		[{0,100}]	1270	
10103071	战士腰带强化71	103	1	71	10410071		[{0,100}]	1271	
10103072	战士腰带强化72	103	1	72	10410072		[{0,100}]	1272	
10103073	战士腰带强化73	103	1	73	10410073		[{0,100}]	1273	
10103074	战士腰带强化74	103	1	74	10410074		[{0,100}]	1274	
