id	关联皇冠技能id		描述	技能等级	修改集id（skill_modify表的id）	技能id（取第一段段名）	激活消耗
51	1303	暴击	增加暴击值#u#10点	1	53101		7071
52	1303	暴击	增加暴击值#u#20点	2	53102		7072
53	1303	暴击	增加暴击值#u#30点	3	53103		7073
54	1303	暴击	增加暴击值#u#40点	4	53104		7074
55	1303	暴击	增加暴击值#u#50点	5	53105		7075
56	1303	暴击	增加暴击值#u#60点	6	53106		7076
57	1203	生命	增加生命值	0			1
58	1203	生命	增加生命值#u#50点	1	53201		7081
59	1203	生命	增加生命值#u#60点	2	53202		7082
60	1203	生命	增加生命值#u#70点	3	53203		7083
61	1203	生命	增加生命值#u#80点	4	53204		7084
62	1203	生命	增加生命值#u#90点	5	53205		7085
63	1203	生命	增加生命值#u#100点	6	53206		7086
64	1004	巨型雪崩	巨大的雪球向前滚动造成巨大伤害，并附带减速效果.	0			1
65	1004	巨型雪崩	巨大的雪球向前滚动造成巨大伤害，并对附带持续1秒40%的减速效果.	1	54001	4000071	7091
66	1004	巨型雪崩	巨大的雪球向前滚动造成巨大伤害，并对附带持续2秒50%的减速效果.	2	54002	4000071	7092
67	1004	巨型雪崩	巨大的雪球向前滚动造成巨大伤害，并对附带持续3秒60%的减速效果.	3	54003	4000071	7093
68	1004	巨型雪崩	巨大的雪球向前滚动造成巨大伤害，并对附带持续3秒70%的减速效果.	4	54004	4000071	7094
69	1004	巨型雪崩	巨大的雪球向前滚动造成巨大伤害，并对附带持续3秒80%的减速效果.	5	54005	4000071	7095
70	1004	巨型雪崩	巨大的雪球向前滚动造成巨大伤害，并对附带持续3秒90%的减速效果.	6	54006	4000071	7096
71	1304	精准	增加精准值	0			1
72	1304	精准	增加精准值#u#10点	1	54101		7101
73	1304	精准	增加精准值#u#20点	2	54102		7102
74	1304	精准	增加精准值#u#30点	3	54103		7103
75	1304	精准	增加精准值#u#40点	4	54104		7104
76	1304	精准	增加精准值#u#50点	5	54105		7105
77	1304	精准	增加精准值#u#60点	6	54106		7106
78	1204	韧性	增加韧性值	0			1
79	1204	韧性	增加韧性值#u#10点	1	54201		7111
80	1204	韧性	增加韧性值#u#20点	2	54202		7112
81	1204	韧性	增加韧性值#u#30点	3	54203		7113
82	1204	韧性	增加韧性值#u#40点	4	54204		7114
83	1204	韧性	增加韧性值#u#50点	5	54205		7115
84	1204	韧性	增加韧性值#u#60点	6	54206		7116
85	1005	能量爆发	皇冠技的暴击几率提升	0			1
86	1005	能量爆发	皇冠技的暴击几率提升#u#1%	1	55001		7121
87	1005	能量爆发	皇冠技的暴击几率提升#u#2%	2	55002		7122
88	1005	能量爆发	皇冠技的暴击几率提升#u#3%	3	55003		7123
89	1005	能量爆发	皇冠技的暴击几率提升#u#4%	4	55004		7124
90	1005	能量爆发	皇冠技的暴击几率提升#u#5%	5	55005		7125
91	1005	能量爆发	皇冠技的暴击几率提升#u#6%	6	55006		7126
92	1305	破甲	增加破甲值	0			1
93	1305	破甲	增加破甲值#u#5点	1	55101		7131
94	1305	破甲	增加破甲值#u#10点	2	55102		7132
95	1305	破甲	增加破甲值#u#15点	3	55103		7133
96	1305	破甲	增加破甲值#u#20点	4	55104		7134
97	1305	破甲	增加破甲值#u#25点	5	55105		7135
98	1305	破甲	增加破甲值#u#30点	6	55106		7136
99	1205	生命	增加生命值	0			1
100	1205	生命	增加生命值#u#50点	1	55201		7141
101	1205	生命	增加生命值#u#60点	2	55202		7142
102	1205	生命	增加生命值#u#70点	3	55203		7143
103	1205	生命	增加生命值#u#80点	4	55204		7144
104	1205	生命	增加生命值#u#90点	5	55205		7145
105	1205	生命	增加生命值#u#100点	6	55206		7146
106	1006	能源汇聚	所有皇冠技的伤害提升	0			1
107	1006	能源汇聚	所有皇冠技的伤害提升#u#1%	1	56001		7151
108	1006	能源汇聚	所有皇冠技的伤害提升#u#2%	2	56002		7152
109	1006	能源汇聚	所有皇冠技的伤害提升#u#3%	3	56003		7153
110	1006	能源汇聚	所有皇冠技的伤害提升#u#4%	4	56004		7154
111	1006	能源汇聚	所有皇冠技的伤害提升#u#5%	5	56005		7155
112	1006	能源汇聚	所有皇冠技的伤害提升#u#6%	6	56006		7156
113	1306	攻击	增加攻击力	0			1
114	1306	攻击	增加攻击力#u#10点	1	56101		7161
115	1306	攻击	增加攻击力#u#20点	2	56102		7162
116	1306	攻击	增加攻击力#u#30点	3	56103		7163
117	1306	攻击	增加攻击力#u#40点	4	56104		7164
118	1306	攻击	增加攻击力#u#50点	5	56105		7165
119	1306	攻击	增加攻击力#u#60点	6	56106		7166
120	1206	招架	增加招架值	0			1
121	1206	招架	增加招架值#u#10点	1	56201		7171
122	1206	招架	增加招架值#u#15点	2	56202		7172
123	1206	招架	增加招架值#u#20点	3	56203		7173
124	1206	招架	增加招架值#u#25点	4	56204		7174
125	1206	招架	增加招架值#u#30点	5	56205		7175
126	1206	招架	增加招架值#u#35点	6	56206		7176
127	1007	奥能光幕	出现巨大的奥术光幕并对敌人造成定身效果.	0			1
128	1007	奥能光幕	出现巨大的奥术光幕并对敌人造成伤害并定身3秒.	1	57001	4000101	7181
129	1007	奥能光幕	出现巨大的奥术光幕并对敌人造成伤害并定身3秒.	2	57002	4000101	7182
130	1007	奥能光幕	出现巨大的奥术光幕并对敌人造成伤害并定身3秒.	3	57003	4000101	7183
131	1007	奥能光幕	出现巨大的奥术光幕并对敌人造成伤害并定身3秒.	4	57004	4000101	7184
132	1007	奥能光幕	出现巨大的奥术光幕并对敌人造成伤害并定身3秒.	5	57005	4000101	7185
133	1007	奥能光幕	出现巨大的奥术光幕并对敌人造成伤害并定身3秒.	6	57006	4000101	7186
134	1307	魔力	增加魔力值	0			1
135	1307	魔力	增加魔力上限#u#20点	1	57101		7191
136	1307	魔力	增加魔力上限#u#30点	2	57102		7192
137	1307	魔力	增加魔力上限#u#40点	3	57103		7193
138	1307	魔力	增加魔力上限#u#50点	4	57104		7194
139	1307	魔力	增加魔力上限#u#60点	5	57105		7195
140	1307	魔力	增加魔力上限#u#70点	6	57106		7196
141	1207	生命	增加生命值	0			1
142	1207	生命	增加生命值#u#100点	1	57201		7201
143	1207	生命	增加生命值#u#120点	2	57202		7202
144	1207	生命	增加生命值#u#140点	3	57203		7203
145	1207	生命	增加生命值#u#160点	4	57204		7204
146	1207	生命	增加生命值#u#180点	5	57205		7205
147	1207	生命	增加生命值#u#200点	6	57206		7206
148	1008	皇冠潜能	皇冠充能速度提升	0			1
149	1008	皇冠潜能	皇冠充能速度提升#u#1%	1	58001		7211
150	1008	皇冠潜能	皇冠充能速度提升#u#2%	2	58002		7212
151	1008	皇冠潜能	皇冠充能速度提升#u#3%	3	58003		7213
152	1008	皇冠潜能	皇冠充能速度提升#u#4%	4	58004		7214
153	1008	皇冠潜能	皇冠充能速度提升#u#5%	5	58005		7215
154	1008	皇冠潜能	皇冠充能速度提升#u#6%	6	58006		7216
155	1308	暴击	增加暴击值	0			1
156	1308	暴击	增加暴击值#u#20点	1	58101		7221
157	1308	暴击	增加暴击值#u#30点	2	58102		7222
158	1308	暴击	增加暴击值#u#40点	3	58103		7223
159	1308	暴击	增加暴击值#u#50点	4	58104		7224
160	1308	暴击	增加暴击值#u#60点	5	58105		7225
161	1308	暴击	增加暴击值#u#70点	6	58106		7226
162	1208	防御	增加防御力	0			1
163	1208	防御	增加防御力#u#20点	1	58201		7231
164	1208	防御	增加防御力#u#30点	2	58202		7232
165	1208	防御	增加防御力#u#40点	3	58203		7233
166	1208	防御	增加防御力#u#50点	4	58204		7234
167	1208	防御	增加防御力#u#60点	5	58205		7235
168	1208	防御	增加防御力#u#70点	6	58206		7236
169	1009	重装护甲	防御力提升	0			1
170	1009	重装护甲	防御力提升#u#2%	1	59001		7241
171	1009	重装护甲	防御力提升#u#4%	2	59002		7242
172	1009	重装护甲	防御力提升#u#6%	3	59003		7243
173	1009	重装护甲	防御力提升#u#8%	4	59004		7244
174	1009	重装护甲	防御力提升#u#10%	5	59005		7245
175	1009	重装护甲	防御力提升#u#12%	6	59006		7246
176	1309	精准	增加精准值	0			1
177	1309	精准	增加精准值#u#20点	1	59101		7251
178	1309	精准	增加精准值#u#30点	2	59102		7252
179	1309	精准	增加精准值#u#40点	3	59103		7253
180	1309	精准	增加精准值#u#50点	4	59104		7254
181	1309	精准	增加精准值#u#60点	5	59105		7255
182	1309	精准	增加精准值#u#70点	6	59106		7256
183	1209	生命	增加生命值	0			1
184	1209	生命	增加生命值#u#100点	1	59201		7261
185	1209	生命	增加生命值#u#120点	2	59202		7262
186	1209	生命	增加生命值#u#140点	3	59203		7263
187	1209	生命	增加生命值#u#160点	4	59204		7264
188	1209	生命	增加生命值#u#180点	5	59205		7265
189	1209	生命	增加生命值#u#200点	6	59206		7266
190	1010	火焰风暴	无数火球从天而降对敌人造成伤害，并附带灼烧效果	0			1
191	1010	火焰风暴	无数火球从天而降对敌人造成伤害，并附带灼烧效果	1	60001	4000051	7271
192	1010	火焰风暴	无数火球从天而降对敌人造成伤害，并附带3秒灼烧效果	2	60002	4000051	7272
193	1010	火焰风暴	无数火球从天而降对敌人造成伤害，并附带3秒灼烧效果	3	60003	4000051	7273
194	1010	火焰风暴	无数火球从天而降对敌人造成伤害，并附带3秒灼烧效果	4	60004	4000051	7274
195	1010	火焰风暴	无数火球从天而降对敌人造成伤害，并附带3秒灼烧效果	5	60005	4000051	7275
196	1010	火焰风暴	无数火球从天而降对敌人造成伤害，并附带3秒灼烧效果	6	60006	4000051	7276
197	1310	破甲	增加破甲值	0			1
198	1310	破甲	增加破甲值#u#10点	1	60101		7281
199	1310	破甲	增加破甲值#u#15点	2	60102		7282
200	1310	破甲	增加破甲值#u#20点	3	60103		7283
201	1310	破甲	增加破甲值#u#25点	4	60104		7284
202	1310	破甲	增加破甲值#u#30点	5	60105		7285
203	1310	破甲	增加破甲值#u#35点	6	60106		7286
204	1210	韧性	增加韧性值	0			1
205	1210	韧性	增加韧性值#u#20点	1	60201		7291
206	1210	韧性	增加韧性值#u#30点	2	60202		7292
207	1210	韧性	增加韧性值#u#40点	3	60203		7293
208	1210	韧性	增加韧性值#u#50点	4	60204		7294
209	1210	韧性	增加韧性值#u#60点	5	60205		7295
210	1210	韧性	增加韧性值#u#70点	6	60206		7296
211	1011	永动之能	魔法值的回复速度增加	0			1
212	1011	永动之能	魔法值的回复速度增加#u#10%	1	61001		7301
213	1011	永动之能	魔法值的回复速度增加#u#15%	2	61002		7302
214	1011	永动之能	魔法值的回复速度增加#u#20%	3	61003		7303
215	1011	永动之能	魔法值的回复速度增加#u#15%	4	61004		7304
216	1011	永动之能	魔法值的回复速度增加#u#30%	5	61005		7305
217	1011	永动之能	魔法值的回复速度增加#u#40%	6	61006		7306
218	1311	攻击	增加攻击值	0			1
219	1311	攻击	增加攻击值#u#20点	1	61101		7311
220	1311	攻击	增加攻击值#u#30点	2	61102		7312
221	1311	攻击	增加攻击值#u#40点	3	61103		7313
222	1311	攻击	增加攻击值#u#50点	4	61104		7314
223	1311	攻击	增加攻击值#u#60点	5	61105		7315
224	1311	攻击	增加攻击值#u#70点	6	61106		7316
225	1211	生命	增加生命值	0			1
226	1211	生命	增加生命值#u#100点	1	61201		7321
227	1211	生命	增加生命值#u#120点	2	61202		7322
228	1211	生命	增加生命值#u#140点	3	61203		7323
229	1211	生命	增加生命值#u#160点	4	61204		7324
230	1211	生命	增加生命值#u#180点	5	61205		7325
231	1211	生命	增加生命值#u#200点	6	61206		7326
232	1012	无尽潜能	皇冠充能速度提升	0			1
233	1012	无尽潜能	皇冠充能速度提升2%	1	62001		7331
234	1012	无尽潜能	皇冠充能速度提升4%	2	62002		7332
235	1012	无尽潜能	皇冠充能速度提升6%	3	62003		7333
236	1012	无尽潜能	皇冠充能速度提升8%	4	62004		7334
237	1012	无尽潜能	皇冠充能速度提升10%	5	62005		7335
238	1012	无尽潜能	皇冠充能速度提升12%	6	62006		7336
239	1312	魔力	增加魔力值	0			1
240	1312	魔力	增加魔力上限#u#30点	1	62101		7341
241	1312	魔力	增加魔力上限#u#40点	2	62102		7342
242	1312	魔力	增加魔力上限#u#50点	3	62103		7343
243	1312	魔力	增加魔力上限#u#60点	4	62104		7344
244	1312	魔力	增加魔力上限#u#70点	5	62105		7345
245	1312	魔力	增加魔力上限#u#80点	6	62106		7346
246	1212	招架	增加招架值	0			1
247	1212	招架	增加招架值#u#20点	1	62201		7351
248	1212	招架	增加招架值#u#30点	2	62202		7352
249	1212	招架	增加招架值#u#40点	3	62203		7353
250	1212	招架	增加招架值#u#50点	4	62204		7354
251	1212	招架	增加招架值#u#60点	5	62205		7355
252	1212	招架	增加招架值#u#70点	6	62206		7356
253	1013	永冻领域	冰冻使用者周围所有敌人，并造成伤害；	0			1
254	1013	永冻领域	冰冻使用者周围所有敌人1.5秒，并造成伤害；	1	63001	4000011	7361
255	1013	永冻领域	冰冻使用者周围所有敌人2秒，并造成伤害；	2	63002	4000011	7362
256	1013	永冻领域	冰冻使用者周围所有敌人3秒，并造成伤害；	3	63003	4000011	7363
257	1013	永冻领域	冰冻使用者周围所有敌人3秒，并造成伤害；	4	63004	4000011	7364
258	1013	永冻领域	冰冻使用者周围所有敌人3秒，并造成伤害；	5	63005	4000011	7365
259	1013	永冻领域	冰冻使用者周围所有敌人3秒，并造成伤害；	6	63006	4000011	7366
260	1313	暴击	增加暴击值	0			1
261	1313	暴击	增加暴击值#u#30点	1	63101		7371
262	1313	暴击	增加暴击值#u#40点	2	63102		7372
263	1313	暴击	增加暴击值#u#50点	3	63103		7373
264	1313	暴击	增加暴击值#u#60点	4	63104		7374
265	1313	暴击	增加暴击值#u#70点	5	63105		7375
266	1313	暴击	增加暴击值#u#80点	6	63106		7376
267	1213	生命	增加生命值	0			1
268	1213	生命	增加生命值#u#200点	1	63201		7381
269	1213	生命	增加生命值#u#250点	2	63202		7382
270	1213	生命	增加生命值#u#300点	3	63203		7383
271	1213	生命	增加生命值#u#350点	4	63204		7384
272	1213	生命	增加生命值#u#400点	5	63205		7385
273	1213	生命	增加生命值#u#450点	6	63206		7386
274	1014	能量聚焦	皇冠技的命中几率提升	0			1
275	1014	能量聚焦	皇冠技的命中几率提升#u#1%	1	64001		7391
276	1014	能量聚焦	皇冠技的命中几率提升#u#2%	2	64002		7392
277	1014	能量聚焦	皇冠技的命中几率提升#u#3%	3	64003		7393
278	1014	能量聚焦	皇冠技的命中几率提升#u#4%	4	64004		7394
279	1014	能量聚焦	皇冠技的命中几率提升#u#5%	5	64005		7395
280	1014	能量聚焦	皇冠技的命中几率提升#u#6%	6	64006		7396
281	1314	精准	增加精准值	0			1
282	1314	精准	增加精准值#u#30点	1	64101		7401
283	1314	精准	增加精准值#u#40点	2	64102		7402
284	1314	精准	增加精准值#u#50点	3	64103		7403
285	1314	精准	增加精准值#u#60点	4	64104		7404
286	1314	精准	增加精准值#u#70点	5	64105		7405
287	1314	精准	增加精准值#u#80点	6	64106		7406
288	1214	防御	增加防御力	0			1
289	1214	防御	增加防御力#u#30点	1	64201		7411
290	1214	防御	增加防御力#u#40点	2	64202		7412
291	1214	防御	增加防御力#u#50点	3	64203		7413
292	1214	防御	增加防御力#u#60点	4	64204		7414
293	1214	防御	增加防御力#u#70点	5	64205		7415
294	1214	防御	增加防御力#u#80点	6	64206		7416
295	1015	敏之源	敏捷增加	0			1
296	1015	敏之源	敏捷增加#u#200点	1	65001		7421
297	1015	敏之源	敏捷增加#u#400点	2	65002		7422
298	1015	敏之源	敏捷增加#u#800点	3	65003		7423
299	1015	敏之源	敏捷增加#u#1200点	4	65004		7424
300	1015	敏之源	敏捷增加#u#1600点	5	65005		7425
301	1015	敏之源	敏捷增加#u#2000点	6	65006		7426
302	1315	破甲	增加破甲值	0			1
303	1315	破甲	增加破甲值#u#15点	1	65101		7431
304	1315	破甲	增加破甲值#u#20点	2	65102		7432
305	1315	破甲	增加破甲值#u#25点	3	65103		7433
306	1315	破甲	增加破甲值#u#30点	4	65104		7434
307	1315	破甲	增加破甲值#u#35点	5	65105		7435
308	1315	破甲	增加破甲值#u#40点	6	65106		7436
309	1215	生命	增加生命值	0			1
310	1215	生命	增加生命值#u#200点	1	65201		7441
311	1215	生命	增加生命值#u#250点	2	65202		7442
312	1215	生命	增加生命值#u#300点	3	65203		7443
313	1215	生命	增加生命值#u#350点	4	65204		7444
314	1215	生命	增加生命值#u#400点	5	65205		7445
315	1215	生命	增加生命值#u#450点	6	65206		7446
316	1016	神罚之雷	释放威力巨大的球形雷电攻击；	0			1
317	1016	神罚之雷	释放威力巨大的球形雷电攻击，并附带10%的雷电攻击；	1	66001	4000121	7451
318	1016	神罚之雷	释放威力巨大的球形雷电攻击，并附带20%的雷电攻击；	2	66002	4000121	7452
319	1016	神罚之雷	释放威力巨大的球形雷电攻击，并附带30%的雷电攻击；	3	66003	4000121	7453
320	1016	神罚之雷	释放威力巨大的球形雷电攻击，并附带40%的雷电攻击；	4	66004	4000121	7454
321	1016	神罚之雷	释放威力巨大的球形雷电攻击，并附带50%的雷电攻击；	5	66005	4000121	7455
322	1016	神罚之雷	释放威力巨大的球形雷电攻击，并附带60%的雷电攻击；	6	66006	4000121	7456
323	1316	攻击	增加攻击力	0			1
324	1316	攻击	增加攻击力#u#30点	1	66101		7461
325	1316	攻击	增加攻击力#u#40点	2	66102		7462
326	1316	攻击	增加攻击力#u#50点	3	66103		7463
327	1316	攻击	增加攻击力#u#60点	4	66104		7464
328	1316	攻击	增加攻击力#u#70点	5	66105		7465
329	1316	攻击	增加攻击力#u#80点	6	66106		7466
330	1216	韧性	增加韧性值	0			1
331	1216	韧性	增加韧性值#u#30点	1	66201		7471
332	1216	韧性	增加韧性值#u#40点	2	66202		7472
333	1216	韧性	增加韧性值#u#50点	3	66203		7473
334	1216	韧性	增加韧性值#u#60点	4	66204		7474
335	1216	韧性	增加韧性值#u#70点	5	66205		7475
336	1216	韧性	增加韧性值#u#80点	6	66206		7476
337	1017	智之源	智力增加	0			1
338	1017	智之源	智力增加#u#200点	1	67001		7481
339	1017	智之源	智力增加#u#400点	2	67002		7482
340	1017	智之源	智力增加#u#800点	3	67003		7483
341	1017	智之源	智力增加#u#1200点	4	67004		7484
342	1017	智之源	智力增加#u#1600点	5	67005		7485
343	1017	智之源	智力增加#u#2000点	6	67006		7486
344	1317	魔力	增加魔力值	0			1
345	1317	魔力	增加魔力上限#u#40点	1	67101		7491
346	1317	魔力	增加魔力上限#u#50点	2	67102		7492
347	1317	魔力	增加魔力上限#u#60点	3	67103		7493
348	1317	魔力	增加魔力上限#u#70点	4	67104		7494
349	1317	魔力	增加魔力上限#u#80点	5	67105		7495
350	1317	魔力	增加魔力上限#u#90点	6	67106		7496
351	1217	生命	增加生命值	0			1
352	1217	生命	增加生命值#u#200点	1	67201		7501
353	1217	生命	增加生命值#u#250点	2	67202		7502
354	1217	生命	增加生命值#u#300点	3	67203		7503
355	1217	生命	增加生命值#u#350点	4	67204		7504
356	1217	生命	增加生命值#u#400点	5	67205		7505
357	1217	生命	增加生命值#u#450点	6	67206		7506
358	1018	力之源	力量增加	0			1
359	1018	力之源	力量增加#u#200点	1	68001		7511
360	1018	力之源	力量增加#u#400点	2	68002		7512
361	1018	力之源	力量增加#u#600点	3	68003		7513
362	1018	力之源	力量增加#u#800点	4	68004		7514
363	1018	力之源	力量增加#u#1000点	5	68005		7515
364	1018	力之源	力量增加#u#1200点	6	68006		7516
365	1318	暴击	增加暴击值	0			1
366	1318	暴击	增加暴击值#u#40点	1	68101		7521
367	1318	暴击	增加暴击值#u#50点	2	68102		7522
368	1318	暴击	增加暴击值#u#60点	3	68103		7523
369	1318	暴击	增加暴击值#u#70点	4	68104		7524
370	1318	暴击	增加暴击值#u#80点	5	68105		7525
371	1318	暴击	增加暴击值#u#90点	6	68106		7526
372	1218	招架	增加招架值	0			1
373	1218	招架	增加招架值#u#30点	1	68201		7531
374	1218	招架	增加招架值#u#40点	2	68202		7532
375	1218	招架	增加招架值#u#50点	3	68203		7533
376	1218	招架	增加招架值#u#60点	4	68204		7534
377	1218	招架	增加招架值#u#70点	5	68205		7535
378	1218	招架	增加招架值#u#80点	6	68206		7536
379	1319	火焰风暴（新手）	无数火球从天而降对敌人造成伤害，并附带灼烧效果	1		4000111	1
