索引id	宠物id	name	等级	升级增加属性id(spirit_attr的id)	进阶消耗id	阶数	被动技能槽位(共6个槽位)	进阶增加属性id(spirit_attr的id)
11013069	11013001	紫色迅猛龙	69	62069				
11013070	11013001	紫色迅猛龙	70	62070	9007	7		602007
11013071	11013001	紫色迅猛龙	71	62071				
11013072	11013001	紫色迅猛龙	72	62072				
11013073	11013001	紫色迅猛龙	73	62073				
11013074	11013001	紫色迅猛龙	74	62074				
11013075	11013001	紫色迅猛龙	75	62075				
11013076	11013001	紫色迅猛龙	76	62076				
11013077	11013001	紫色迅猛龙	77	62077				
11013078	11013001	紫色迅猛龙	78	62078				
11013079	11013001	紫色迅猛龙	79	62079				
11013080	11013001	紫色迅猛龙	80	62080	9008	8	5	602008
11013081	11013001	紫色迅猛龙	81	62081				
11013082	11013001	紫色迅猛龙	82	62082				
11013083	11013001	紫色迅猛龙	83	62083				
11013084	11013001	紫色迅猛龙	84	62084				
11013085	11013001	紫色迅猛龙	85	62085				
11013086	11013001	紫色迅猛龙	86	62086				
11013087	11013001	紫色迅猛龙	87	62087				
11013088	11013001	紫色迅猛龙	88	62088				
11013089	11013001	紫色迅猛龙	89	62089				
11013090	11013001	紫色迅猛龙	90	62090	9009	9		602009
11013091	11013001	紫色迅猛龙	91	62091				
11013092	11013001	紫色迅猛龙	92	62092				
11013093	11013001	紫色迅猛龙	93	62093				
11013094	11013001	紫色迅猛龙	94	62094				
11013095	11013001	紫色迅猛龙	95	62095				
11013096	11013001	紫色迅猛龙	96	62096				
11013097	11013001	紫色迅猛龙	97	62097				
11013098	11013001	紫色迅猛龙	98	62098				
11013099	11013001	紫色迅猛龙	99	62099				
11013100	11013001	紫色迅猛龙	100	62100	9010	10	6	602010
11014001	11014001	橙色迅猛龙	1	63001			1	
11014002	11014001	橙色迅猛龙	2	63002				
11014003	11014001	橙色迅猛龙	3	63003				
11014004	11014001	橙色迅猛龙	4	63004				
11014005	11014001	橙色迅猛龙	5	63005				
11014006	11014001	橙色迅猛龙	6	63006				
11014007	11014001	橙色迅猛龙	7	63007				
11014008	11014001	橙色迅猛龙	8	63008				
11014009	11014001	橙色迅猛龙	9	63009				
11014010	11014001	橙色迅猛龙	10	63010	9001	1		603001
11014011	11014001	橙色迅猛龙	11	63011				
11014012	11014001	橙色迅猛龙	12	63012				
11014013	11014001	橙色迅猛龙	13	63013				
11014014	11014001	橙色迅猛龙	14	63014				
11014015	11014001	橙色迅猛龙	15	63015				
11014016	11014001	橙色迅猛龙	16	63016				
11014017	11014001	橙色迅猛龙	17	63017				
11014018	11014001	橙色迅猛龙	18	63018				
11014019	11014001	橙色迅猛龙	19	63019				
11014020	11014001	橙色迅猛龙	20	63020	9002	2	2	603002
11014021	11014001	橙色迅猛龙	21	63021				
11014022	11014001	橙色迅猛龙	22	63022				
11014023	11014001	橙色迅猛龙	23	63023				
11014024	11014001	橙色迅猛龙	24	63024				
11014025	11014001	橙色迅猛龙	25	63025				
11014026	11014001	橙色迅猛龙	26	63026				
11014027	11014001	橙色迅猛龙	27	63027				
11014028	11014001	橙色迅猛龙	28	63028				
11014029	11014001	橙色迅猛龙	29	63029				
11014030	11014001	橙色迅猛龙	30	63030	9003	3		603003
11014031	11014001	橙色迅猛龙	31	63031				
11014032	11014001	橙色迅猛龙	32	63032				
11014033	11014001	橙色迅猛龙	33	63033				
11014034	11014001	橙色迅猛龙	34	63034				
11014035	11014001	橙色迅猛龙	35	63035				
11014036	11014001	橙色迅猛龙	36	63036				
11014037	11014001	橙色迅猛龙	37	63037				
11014038	11014001	橙色迅猛龙	38	63038				
11014039	11014001	橙色迅猛龙	39	63039				
11014040	11014001	橙色迅猛龙	40	63040	9004	4	3	603004
11014041	11014001	橙色迅猛龙	41	63041				
11014042	11014001	橙色迅猛龙	42	63042				
11014043	11014001	橙色迅猛龙	43	63043				
11014044	11014001	橙色迅猛龙	44	63044				
11014045	11014001	橙色迅猛龙	45	63045				
11014046	11014001	橙色迅猛龙	46	63046				
11014047	11014001	橙色迅猛龙	47	63047				
11014048	11014001	橙色迅猛龙	48	63048				
11014049	11014001	橙色迅猛龙	49	63049				
11014050	11014001	橙色迅猛龙	50	63050	9005	5		603005
11014051	11014001	橙色迅猛龙	51	63051				
11014052	11014001	橙色迅猛龙	52	63052				
11014053	11014001	橙色迅猛龙	53	63053				
11014054	11014001	橙色迅猛龙	54	63054				
11014055	11014001	橙色迅猛龙	55	63055				
11014056	11014001	橙色迅猛龙	56	63056				
11014057	11014001	橙色迅猛龙	57	63057				
11014058	11014001	橙色迅猛龙	58	63058				
11014059	11014001	橙色迅猛龙	59	63059				
11014060	11014001	橙色迅猛龙	60	63060	9006	6	4	603006
11014061	11014001	橙色迅猛龙	61	63061				
11014062	11014001	橙色迅猛龙	62	63062				
11014063	11014001	橙色迅猛龙	63	63063				
11014064	11014001	橙色迅猛龙	64	63064				
11014065	11014001	橙色迅猛龙	65	63065				
11014066	11014001	橙色迅猛龙	66	63066				
11014067	11014001	橙色迅猛龙	67	63067				
11014068	11014001	橙色迅猛龙	68	63068				
11014069	11014001	橙色迅猛龙	69	63069				
11014070	11014001	橙色迅猛龙	70	63070	9007	7		603007
11014071	11014001	橙色迅猛龙	71	63071				
11014072	11014001	橙色迅猛龙	72	63072				
11014073	11014001	橙色迅猛龙	73	63073				
11014074	11014001	橙色迅猛龙	74	63074				
11014075	11014001	橙色迅猛龙	75	63075				
11014076	11014001	橙色迅猛龙	76	63076				
11014077	11014001	橙色迅猛龙	77	63077				
11014078	11014001	橙色迅猛龙	78	63078				
11014079	11014001	橙色迅猛龙	79	63079				
11014080	11014001	橙色迅猛龙	80	63080	9008	8	5	603008
11014081	11014001	橙色迅猛龙	81	63081				
11014082	11014001	橙色迅猛龙	82	63082				
11014083	11014001	橙色迅猛龙	83	63083				
11014084	11014001	橙色迅猛龙	84	63084				
11014085	11014001	橙色迅猛龙	85	63085				
11014086	11014001	橙色迅猛龙	86	63086				
11014087	11014001	橙色迅猛龙	87	63087				
11014088	11014001	橙色迅猛龙	88	63088				
11014089	11014001	橙色迅猛龙	89	63089				
11014090	11014001	橙色迅猛龙	90	63090	9009	9		603009
11014091	11014001	橙色迅猛龙	91	63091				
11014092	11014001	橙色迅猛龙	92	63092				
11014093	11014001	橙色迅猛龙	93	63093				
11014094	11014001	橙色迅猛龙	94	63094				
11014095	11014001	橙色迅猛龙	95	63095				
11014096	11014001	橙色迅猛龙	96	63096				
11014097	11014001	橙色迅猛龙	97	63097				
11014098	11014001	橙色迅猛龙	98	63098				
11014099	11014001	橙色迅猛龙	99	63099				
11014100	11014001	橙色迅猛龙	100	63100	9010	10	6	603010
12012001	12012001	蓝色精灵龙	1	64001			1	
12012002	12012001	蓝色精灵龙	2	64002				
12012003	12012001	蓝色精灵龙	3	64003				
12012004	12012001	蓝色精灵龙	4	64004				
12012005	12012001	蓝色精灵龙	5	64005				
12012006	12012001	蓝色精灵龙	6	64006				
12012007	12012001	蓝色精灵龙	7	64007				
12012008	12012001	蓝色精灵龙	8	64008				
12012009	12012001	蓝色精灵龙	9	64009				
12012010	12012001	蓝色精灵龙	10	64010	9001	1		604001
12012011	12012001	蓝色精灵龙	11	64011				
12012012	12012001	蓝色精灵龙	12	64012				
12012013	12012001	蓝色精灵龙	13	64013				
12012014	12012001	蓝色精灵龙	14	64014				
12012015	12012001	蓝色精灵龙	15	64015				
12012016	12012001	蓝色精灵龙	16	64016				
12012017	12012001	蓝色精灵龙	17	64017				
12012018	12012001	蓝色精灵龙	18	64018				
12012019	12012001	蓝色精灵龙	19	64019				
12012020	12012001	蓝色精灵龙	20	64020	9002	2	2	604002
12012021	12012001	蓝色精灵龙	21	64021				
12012022	12012001	蓝色精灵龙	22	64022				
12012023	12012001	蓝色精灵龙	23	64023				
12012024	12012001	蓝色精灵龙	24	64024				
12012025	12012001	蓝色精灵龙	25	64025				
12012026	12012001	蓝色精灵龙	26	64026				
12012027	12012001	蓝色精灵龙	27	64027				
12012028	12012001	蓝色精灵龙	28	64028				
12012029	12012001	蓝色精灵龙	29	64029				
12012030	12012001	蓝色精灵龙	30	64030	9003	3		604003
12012031	12012001	蓝色精灵龙	31	64031				
12012032	12012001	蓝色精灵龙	32	64032				
12012033	12012001	蓝色精灵龙	33	64033				
12012034	12012001	蓝色精灵龙	34	64034				
12012035	12012001	蓝色精灵龙	35	64035				
12012036	12012001	蓝色精灵龙	36	64036				
12012037	12012001	蓝色精灵龙	37	64037				
12012038	12012001	蓝色精灵龙	38	64038				
12012039	12012001	蓝色精灵龙	39	64039				
12012040	12012001	蓝色精灵龙	40	64040	9004	4	3	604004
12012041	12012001	蓝色精灵龙	41	64041				
12012042	12012001	蓝色精灵龙	42	64042				
12012043	12012001	蓝色精灵龙	43	64043				
12012044	12012001	蓝色精灵龙	44	64044				
12012045	12012001	蓝色精灵龙	45	64045				
12012046	12012001	蓝色精灵龙	46	64046				
12012047	12012001	蓝色精灵龙	47	64047				
12012048	12012001	蓝色精灵龙	48	64048				
12012049	12012001	蓝色精灵龙	49	64049				
12012050	12012001	蓝色精灵龙	50	64050	9005	5		604005
12012051	12012001	蓝色精灵龙	51	64051				
12012052	12012001	蓝色精灵龙	52	64052				
12012053	12012001	蓝色精灵龙	53	64053				
12012054	12012001	蓝色精灵龙	54	64054				
12012055	12012001	蓝色精灵龙	55	64055				
12012056	12012001	蓝色精灵龙	56	64056				
12012057	12012001	蓝色精灵龙	57	64057				
12012058	12012001	蓝色精灵龙	58	64058				
12012059	12012001	蓝色精灵龙	59	64059				
12012060	12012001	蓝色精灵龙	60	64060	9006	6	4	604006
12012061	12012001	蓝色精灵龙	61	64061				
12012062	12012001	蓝色精灵龙	62	64062				
12012063	12012001	蓝色精灵龙	63	64063				
12012064	12012001	蓝色精灵龙	64	64064				
12012065	12012001	蓝色精灵龙	65	64065				
12012066	12012001	蓝色精灵龙	66	64066				
12012067	12012001	蓝色精灵龙	67	64067				
12012068	12012001	蓝色精灵龙	68	64068				
12012069	12012001	蓝色精灵龙	69	64069				
12012070	12012001	蓝色精灵龙	70	64070	9007	7		604007
12012071	12012001	蓝色精灵龙	71	64071				
12012072	12012001	蓝色精灵龙	72	64072				
12012073	12012001	蓝色精灵龙	73	64073				
12012074	12012001	蓝色精灵龙	74	64074				
12012075	12012001	蓝色精灵龙	75	64075				
12012076	12012001	蓝色精灵龙	76	64076				
12012077	12012001	蓝色精灵龙	77	64077				
12012078	12012001	蓝色精灵龙	78	64078				
12012079	12012001	蓝色精灵龙	79	64079				
12012080	12012001	蓝色精灵龙	80	64080	9008	8	5	604008
12012081	12012001	蓝色精灵龙	81	64081				
12012082	12012001	蓝色精灵龙	82	64082				
12012083	12012001	蓝色精灵龙	83	64083				
12012084	12012001	蓝色精灵龙	84	64084				
12012085	12012001	蓝色精灵龙	85	64085				
12012086	12012001	蓝色精灵龙	86	64086				
12012087	12012001	蓝色精灵龙	87	64087				
12012088	12012001	蓝色精灵龙	88	64088				
12012089	12012001	蓝色精灵龙	89	64089				
12012090	12012001	蓝色精灵龙	90	64090	9009	9		604009
12012091	12012001	蓝色精灵龙	91	64091				
12012092	12012001	蓝色精灵龙	92	64092				
12012093	12012001	蓝色精灵龙	93	64093				
12012094	12012001	蓝色精灵龙	94	64094				
12012095	12012001	蓝色精灵龙	95	64095				
12012096	12012001	蓝色精灵龙	96	64096				
12012097	12012001	蓝色精灵龙	97	64097				
12012098	12012001	蓝色精灵龙	98	64098				
12012099	12012001	蓝色精灵龙	99	64099				
12012100	12012001	蓝色精灵龙	100	64100	9010	10	6	604010
12013001	12013001	紫色精灵龙	1	65001			1	
12013002	12013001	紫色精灵龙	2	65002				
12013003	12013001	紫色精灵龙	3	65003				
12013004	12013001	紫色精灵龙	4	65004				
12013005	12013001	紫色精灵龙	5	65005				
12013006	12013001	紫色精灵龙	6	65006				
12013007	12013001	紫色精灵龙	7	65007				
12013008	12013001	紫色精灵龙	8	65008				
12013009	12013001	紫色精灵龙	9	65009				
12013010	12013001	紫色精灵龙	10	65010	9001	1		605001
12013011	12013001	紫色精灵龙	11	65011				
12013012	12013001	紫色精灵龙	12	65012				
12013013	12013001	紫色精灵龙	13	65013				
12013014	12013001	紫色精灵龙	14	65014				
12013015	12013001	紫色精灵龙	15	65015				
12013016	12013001	紫色精灵龙	16	65016				
12013017	12013001	紫色精灵龙	17	65017				
12013018	12013001	紫色精灵龙	18	65018				
12013019	12013001	紫色精灵龙	19	65019				
12013020	12013001	紫色精灵龙	20	65020	9002	2	2	605002
12013021	12013001	紫色精灵龙	21	65021				
12013022	12013001	紫色精灵龙	22	65022				
12013023	12013001	紫色精灵龙	23	65023				
12013024	12013001	紫色精灵龙	24	65024				
12013025	12013001	紫色精灵龙	25	65025				
12013026	12013001	紫色精灵龙	26	65026				
12013027	12013001	紫色精灵龙	27	65027				
12013028	12013001	紫色精灵龙	28	65028				
12013029	12013001	紫色精灵龙	29	65029				
12013030	12013001	紫色精灵龙	30	65030	9003	3		605003
12013031	12013001	紫色精灵龙	31	65031				
12013032	12013001	紫色精灵龙	32	65032				
12013033	12013001	紫色精灵龙	33	65033				
12013034	12013001	紫色精灵龙	34	65034				
12013035	12013001	紫色精灵龙	35	65035				
12013036	12013001	紫色精灵龙	36	65036				
12013037	12013001	紫色精灵龙	37	65037				
12013038	12013001	紫色精灵龙	38	65038				
12013039	12013001	紫色精灵龙	39	65039				
12013040	12013001	紫色精灵龙	40	65040	9004	4	3	605004
12013041	12013001	紫色精灵龙	41	65041				
12013042	12013001	紫色精灵龙	42	65042				
12013043	12013001	紫色精灵龙	43	65043				
12013044	12013001	紫色精灵龙	44	65044				
12013045	12013001	紫色精灵龙	45	65045				
12013046	12013001	紫色精灵龙	46	65046				
12013047	12013001	紫色精灵龙	47	65047				
12013048	12013001	紫色精灵龙	48	65048				
12013049	12013001	紫色精灵龙	49	65049				
12013050	12013001	紫色精灵龙	50	65050	9005	5		605005
12013051	12013001	紫色精灵龙	51	65051				
12013052	12013001	紫色精灵龙	52	65052				
12013053	12013001	紫色精灵龙	53	65053				
12013054	12013001	紫色精灵龙	54	65054				
12013055	12013001	紫色精灵龙	55	65055				
12013056	12013001	紫色精灵龙	56	65056				
12013057	12013001	紫色精灵龙	57	65057				
12013058	12013001	紫色精灵龙	58	65058				
12013059	12013001	紫色精灵龙	59	65059				
12013060	12013001	紫色精灵龙	60	65060	9006	6	4	605006
12013061	12013001	紫色精灵龙	61	65061				
12013062	12013001	紫色精灵龙	62	65062				
12013063	12013001	紫色精灵龙	63	65063				
12013064	12013001	紫色精灵龙	64	65064				
12013065	12013001	紫色精灵龙	65	65065				
12013066	12013001	紫色精灵龙	66	65066				
12013067	12013001	紫色精灵龙	67	65067				
12013068	12013001	紫色精灵龙	68	65068				
12013069	12013001	紫色精灵龙	69	65069				
12013070	12013001	紫色精灵龙	70	65070	9007	7		605007
12013071	12013001	紫色精灵龙	71	65071				
12013072	12013001	紫色精灵龙	72	65072				
12013073	12013001	紫色精灵龙	73	65073				
12013074	12013001	紫色精灵龙	74	65074				
12013075	12013001	紫色精灵龙	75	65075				
12013076	12013001	紫色精灵龙	76	65076				
12013077	12013001	紫色精灵龙	77	65077				
12013078	12013001	紫色精灵龙	78	65078				
12013079	12013001	紫色精灵龙	79	65079				
12013080	12013001	紫色精灵龙	80	65080	9008	8	5	605008
12013081	12013001	紫色精灵龙	81	65081				
12013082	12013001	紫色精灵龙	82	65082				
12013083	12013001	紫色精灵龙	83	65083				
12013084	12013001	紫色精灵龙	84	65084				
12013085	12013001	紫色精灵龙	85	65085				
12013086	12013001	紫色精灵龙	86	65086				
12013087	12013001	紫色精灵龙	87	65087				
12013088	12013001	紫色精灵龙	88	65088				
12013089	12013001	紫色精灵龙	89	65089				
12013090	12013001	紫色精灵龙	90	65090	9009	9		605009
12013091	12013001	紫色精灵龙	91	65091				
12013092	12013001	紫色精灵龙	92	65092				
12013093	12013001	紫色精灵龙	93	65093				
12013094	12013001	紫色精灵龙	94	65094				
12013095	12013001	紫色精灵龙	95	65095				
12013096	12013001	紫色精灵龙	96	65096				
12013097	12013001	紫色精灵龙	97	65097				
12013098	12013001	紫色精灵龙	98	65098				
12013099	12013001	紫色精灵龙	99	65099				
12013100	12013001	紫色精灵龙	100	65100	9010	10	6	605010
12014001	12014001	橙色精灵龙	1	66001			1	
12014002	12014001	橙色精灵龙	2	66002				
12014003	12014001	橙色精灵龙	3	66003				
12014004	12014001	橙色精灵龙	4	66004				
12014005	12014001	橙色精灵龙	5	66005				
12014006	12014001	橙色精灵龙	6	66006				
12014007	12014001	橙色精灵龙	7	66007				
12014008	12014001	橙色精灵龙	8	66008				
12014009	12014001	橙色精灵龙	9	66009				
12014010	12014001	橙色精灵龙	10	66010	9001	1		606001
12014011	12014001	橙色精灵龙	11	66011				
12014012	12014001	橙色精灵龙	12	66012				
12014013	12014001	橙色精灵龙	13	66013				
12014014	12014001	橙色精灵龙	14	66014				
12014015	12014001	橙色精灵龙	15	66015				
12014016	12014001	橙色精灵龙	16	66016				
12014017	12014001	橙色精灵龙	17	66017				
12014018	12014001	橙色精灵龙	18	66018				
12014019	12014001	橙色精灵龙	19	66019				
12014020	12014001	橙色精灵龙	20	66020	9002	2	2	606002
12014021	12014001	橙色精灵龙	21	66021				
12014022	12014001	橙色精灵龙	22	66022				
12014023	12014001	橙色精灵龙	23	66023				
12014024	12014001	橙色精灵龙	24	66024				
12014025	12014001	橙色精灵龙	25	66025				
12014026	12014001	橙色精灵龙	26	66026				
12014027	12014001	橙色精灵龙	27	66027				
12014028	12014001	橙色精灵龙	28	66028				
12014029	12014001	橙色精灵龙	29	66029				
12014030	12014001	橙色精灵龙	30	66030	9003	3		606003
12014031	12014001	橙色精灵龙	31	66031				
12014032	12014001	橙色精灵龙	32	66032				
12014033	12014001	橙色精灵龙	33	66033				
12014034	12014001	橙色精灵龙	34	66034				
12014035	12014001	橙色精灵龙	35	66035				
12014036	12014001	橙色精灵龙	36	66036				
12014037	12014001	橙色精灵龙	37	66037				
12014038	12014001	橙色精灵龙	38	66038				
12014039	12014001	橙色精灵龙	39	66039				
12014040	12014001	橙色精灵龙	40	66040	9004	4	3	606004
12014041	12014001	橙色精灵龙	41	66041				
12014042	12014001	橙色精灵龙	42	66042				
12014043	12014001	橙色精灵龙	43	66043				
12014044	12014001	橙色精灵龙	44	66044				
12014045	12014001	橙色精灵龙	45	66045				
12014046	12014001	橙色精灵龙	46	66046				
12014047	12014001	橙色精灵龙	47	66047				
12014048	12014001	橙色精灵龙	48	66048				
12014049	12014001	橙色精灵龙	49	66049				
12014050	12014001	橙色精灵龙	50	66050	9005	5		606005
12014051	12014001	橙色精灵龙	51	66051				
12014052	12014001	橙色精灵龙	52	66052				
12014053	12014001	橙色精灵龙	53	66053				
12014054	12014001	橙色精灵龙	54	66054				
12014055	12014001	橙色精灵龙	55	66055				
12014056	12014001	橙色精灵龙	56	66056				
12014057	12014001	橙色精灵龙	57	66057				
12014058	12014001	橙色精灵龙	58	66058				
