id	等级	升级经验	升级消耗{costid，经验}	阶数	进阶消耗costid	升级增加属性	进阶属性	形象id	吐出的奖励id	吐出的cd秒}	每天喷吐次数	获得愉悦值（costid，最小值，最大值）
55	55	48500	{13100,100}			[{19,291},{11,550},{23,291},{21,291},{22,291},{29,291}]		3	170006	21600	3	{13300,3,7}
56	56	50276	{13100,100}			[{19,299},{11,560},{23,299},{21,299},{22,299},{29,299}]		3	170006	21600	3	{13300,3,7}
57	57	52084	{13100,100}			[{19,307},{11,570},{23,307},{21,307},{22,307},{29,307}]		3	170006	21600	3	{13300,3,7}
58	58	53924	{13100,100}			[{19,315},{11,580},{23,315},{21,315},{22,315},{29,315}]		3	170006	21600	3	{13300,3,7}
59	59	55796	{13100,100}			[{19,319},{11,590},{23,323},{21,323},{22,323},{29,323}]		3	170006	21600	3	{13300,3,7}
60	60	57700	{13100,100}	6	13206	[{19,331},{11,600},{23,331},{21,331},{22,331},{29,331}]	[{19,66},{11,300},{23,66},{21,66},{22,66},{29,66}]	3	170006	21600	3	{13300,3,7}
61	61	59636	{13100,100}			[{19,340},{11,610},{23,340},{21,340},{22,340},{29,340}]		4	170007	21600	3	{13300,3,7}
62	62	61604	{13100,100}			[{19,349},{11,620},{23,349},{21,349},{22,349},{29,349}]		4	170007	21600	3	{13300,3,7}
63	63	63604	{13100,100}			[{19,358},{11,630},{23,358},{21,358},{22,358},{29,358}]		4	170007	21600	3	{13300,3,7}
64	64	65636	{13100,100}			[{19,367},{11,640},{23,367},{21,367},{22,367},{29,367}]		4	170007	21600	3	{13300,3,7}
65	65	67700	{13100,100}			[{19,376},{11,650},{23,376},{21,376},{22,376},{29,376}]		4	170007	21600	3	{13300,3,7}
66	66	69796	{13100,100}			[{19,385},{11,660},{23,385},{21,385},{22,385},{29,385}]		4	170007	21600	3	{13300,3,7}
67	67	71924	{13100,100}			[{19,394},{11,670},{23,394},{21,394},{22,394},{29,394}]		4	170007	21600	3	{13300,3,7}
68	68	74084	{13100,100}			[{19,403},{11,680},{23,403},{21,403},{22,403},{29,403}]		4	170007	21600	3	{13300,3,7}
69	69	76276	{13100,100}			[{19,412},{11,690},{23,412},{21,412},{22,412},{29,412}]		4	170007	21600	3	{13300,3,7}
70	70	78500	{13100,100}	7	13207	[{19,421},{11,700},{23,421},{21,421},{22,421},{29,421}]	[{19,84},{11,350},{23,84},{21,84},{22,84},{29,84}]	4	170007	21600	3	{13300,3,7}
71	71	80756	{13100,100}			[{19,431},{11,710},{23,431},{21,431},{22,431},{29,431}]		4	170008	21600	3	{13300,3,7}
72	72	83044	{13100,100}			[{19,441},{11,720},{23,441},{21,441},{22,441},{29,441}]		4	170008	21600	3	{13300,3,7}
73	73	85364	{13100,100}			[{19,451},{11,730},{23,451},{21,451},{22,451},{29,451}]		4	170008	21600	3	{13300,3,7}
74	74	87716	{13100,100}			[{19,461},{11,740},{23,461},{21,461},{22,461},{29,461}]		4	170008	21600	3	{13300,3,7}
75	75	90100	{13100,100}			[{19,471},{11,750},{23,471},{21,471},{22,471},{29,471}]		4	170008	21600	3	{13300,3,7}
76	76	92516	{13100,100}			[{19,481},{11,760},{23,481},{21,481},{22,481},{29,481}]		4	170008	21600	3	{13300,3,7}
77	77	94964	{13100,100}			[{19,491},{11,770},{23,491},{21,491},{22,491},{29,491}]		4	170008	21600	3	{13300,3,7}
78	78	97444	{13100,100}			[{19,501},{11,780},{23,501},{21,501},{22,501},{29,501}]		4	170008	21600	3	{13300,3,7}
79	79	99956	{13100,100}			[{19,511},{11,790},{23,511},{21,511},{22,511},{29,511}]		4	170008	21600	3	{13300,3,7}
80	80	102500	{13100,100}	8	13208	[{19,521},{11,800},{23,521},{21,521},{22,521},{29,521}]	[{19,104},{11,400},{23,104},{21,104},{22,104},{29,104}]	4	170008	21600	3	{13300,3,7}
81	81	105076	{13100,100}			[{19,532},{11,810},{23,532},{21,532},{22,532},{29,532}]		5	170009	21600	3	{13300,3,7}
82	82	107684	{13100,100}			[{19,543},{11,820},{23,543},{21,543},{22,543},{29,543}]		5	170009	21600	3	{13300,3,7}
83	83	110324	{13100,100}			[{19,554},{11,830},{23,554},{21,554},{22,554},{29,554}]		5	170009	21600	3	{13300,3,7}
84	84	112996	{13100,100}			[{19,565},{11,840},{23,565},{21,565},{22,565},{29,565}]		5	170009	21600	3	{13300,3,7}
85	85	115700	{13100,100}			[{19,576},{11,850},{23,576},{21,576},{22,576},{29,576}]		5	170009	21600	3	{13300,3,7}
86	86	118436	{13100,100}			[{19,587},{11,860},{23,587},{21,587},{22,587},{29,587}]		5	170009	21600	3	{13300,3,7}
87	87	121204	{13100,100}			[{19,598},{11,870},{23,598},{21,598},{22,598},{29,598}]		5	170009	21600	3	{13300,3,7}
88	88	124004	{13100,100}			[{19,609},{11,880},{23,609},{21,609},{22,609},{29,609}]		5	170009	21600	3	{13300,3,7}
89	89	126836	{13100,100}			[{19,620},{11,890},{23,620},{21,620},{22,620},{29,620}]		5	170009	21600	3	{13300,3,7}
90	90	129700	{13100,100}	9	13209	[{19,631},{11,900},{23,631},{21,631},{22,631},{29,631}]	[{19,126},{11,450},{23,126},{21,126},{22,126},{29,126}]	5	170009	21600	3	{13300,3,7}
91	91	132596	{13100,100}			[{19,643},{11,910},{23,643},{21,643},{22,643},{29,643}]		5	170010	21600	3	{13300,3,7}
92	92	135524	{13100,100}			[{19,655},{11,920},{23,655},{21,655},{22,655},{29,655}]		5	170010	21600	3	{13300,3,7}
93	93	138484	{13100,100}			[{19,667},{11,930},{23,667},{21,667},{22,667},{29,667}]		5	170010	21600	3	{13300,3,7}
94	94	141476	{13100,100}			[{19,679},{11,940},{23,679},{21,679},{22,679},{29,679}]		5	170010	21600	3	{13300,3,7}
95	95	144500	{13100,100}			[{19,691},{11,950},{23,691},{21,691},{22,691},{29,691}]		5	170010	21600	3	{13300,3,7}
96	96	147556	{13100,100}			[{19,703},{11,960},{23,703},{21,703},{22,703},{29,703}]		5	170010	21600	3	{13300,3,7}
97	97	150644	{13100,100}			[{19,715},{11,970},{23,715},{21,715},{22,715},{29,715}]		5	170010	21600	3	{13300,3,7}
98	98	153764	{13100,100}			[{19,727},{11,980},{23,727},{21,727},{22,727},{29,727}]		5	170010	21600	3	{13300,3,7}
99	99	156916	{13100,100}			[{19,739},{11,990},{23,739},{21,739},{22,739},{29,739}]		5	170010	21600	3	{13300,3,7}
100	100	160100	{13100,100}	10	13210	[{19,751},{11,1000},{23,751},{21,751},{22,751},{29,751}]	[{19,150},{11,500},{23,150},{21,150},{22,150},{29,150}]	5	170010	21600	3	{13300,3,7}
