ID为绿装id	套装名	套装部位	随机生成附魔材料次数	装备品质（装备品质，{道具ID，权值}）	产出套装碎片最小值，最大值，种类	分解消费
910401011	大天使的腿甲	104	{1,3}	[{5,[{213,90},{214,10}]}]	{2,3,17001}	16001
910402011	大天使的腿甲	104	{2,4}	[{5,[{213,90},{214,10}]}]	{3,4,17001}	16001
910403011	大天使的腿甲	104	{3,5}	[{5,[{213,90},{214,10}]}]	{4,5,17001}	16001
910404011	大天使的腿甲	104	{4,6}	[{5,[{213,90},{214,10}]}]	{5,6,17001}	16001
910405011	大天使的腿甲	104	{5,7}	[{5,[{213,90},{214,10}]}]	{6,7,17001}	16001
910406011	大天使的腿甲	104	{6,8}	[{5,[{213,90},{214,10}]}]	{7,8,17001}	16001
910407011	大天使的腿甲	104	{7,9}	[{5,[{213,90},{214,10}]}]	{8,9,17001}	16001
910408011	大天使的腿甲	104	{8,10}	[{5,[{213,90},{214,10}]}]	{9,10,17001}	16001
910409011	大天使的腿甲	104	{9,11}	[{5,[{213,90},{214,10}]}]	{10,11,17001}	16001
910410011	大天使的腿甲	104	{10,12}	[{5,[{213,90},{214,10}]}]	{11,12,17001}	16001
910500111	大天使的步履	105	{1,2}	[{5,[{213,90},{214,10}]}]	{1,2,17001}	16001
910501011	大天使的步履	105	{1,3}	[{5,[{213,90},{214,10}]}]	{2,3,17001}	16001
910502011	大天使的步履	105	{2,4}	[{5,[{213,90},{214,10}]}]	{3,4,17001}	16001
910503011	大天使的步履	105	{3,5}	[{5,[{213,90},{214,10}]}]	{4,5,17001}	16001
910504011	大天使的步履	105	{4,6}	[{5,[{213,90},{214,10}]}]	{5,6,17001}	16001
910505011	大天使的步履	105	{5,7}	[{5,[{213,90},{214,10}]}]	{6,7,17001}	16001
910506011	大天使的步履	105	{6,8}	[{5,[{213,90},{214,10}]}]	{7,8,17001}	16001
910507011	大天使的步履	105	{7,9}	[{5,[{213,90},{214,10}]}]	{8,9,17001}	16001
910508011	大天使的步履	105	{8,10}	[{5,[{213,90},{214,10}]}]	{9,10,17001}	16001
910509011	大天使的步履	105	{9,11}	[{5,[{213,90},{214,10}]}]	{10,11,17001}	16001
910510011	大天使的步履	105	{10,12}	[{5,[{213,90},{214,10}]}]	{11,12,17001}	16001
911000112	雷神的霹雳	110	{1,2}	[{5,[{213,90},{214,10}]}]	{1,2,17002}	16001
911001012	雷神的霹雳	110	{1,3}	[{5,[{213,90},{214,10}]}]	{2,3,17002}	16001
911002012	雷神的霹雳	110	{2,4}	[{5,[{213,90},{214,10}]}]	{3,4,17002}	16001
911003012	雷神的霹雳	110	{3,5}	[{5,[{213,90},{214,10}]}]	{4,5,17002}	16001
911004012	雷神的霹雳	110	{4,6}	[{5,[{213,90},{214,10}]}]	{5,6,17002}	16001
911005012	雷神的霹雳	110	{5,7}	[{5,[{213,90},{214,10}]}]	{6,7,17002}	16001
911006012	雷神的霹雳	110	{6,8}	[{5,[{213,90},{214,10}]}]	{7,8,17002}	16001
911007012	雷神的霹雳	110	{7,9}	[{5,[{213,90},{214,10}]}]	{8,9,17002}	16001
911008012	雷神的霹雳	110	{8,10}	[{5,[{213,90},{214,10}]}]	{9,10,17002}	16001
911009012	雷神的霹雳	110	{9,11}	[{5,[{213,90},{214,10}]}]	{10,11,17002}	16001
911010012	雷神的霹雳	110	{10,12}	[{5,[{213,90},{214,10}]}]	{11,12,17002}	16001
910100112	雷神的深邃	101	{1,2}	[{5,[{213,90},{214,10}]}]	{1,2,17002}	16001
910101012	雷神的深邃	101	{1,3}	[{5,[{213,90},{214,10}]}]	{2,3,17002}	16001
910102012	雷神的深邃	101	{2,4}	[{5,[{213,90},{214,10}]}]	{3,4,17002}	16001
910103012	雷神的深邃	101	{3,5}	[{5,[{213,90},{214,10}]}]	{4,5,17002}	16001
910104012	雷神的深邃	101	{4,6}	[{5,[{213,90},{214,10}]}]	{5,6,17002}	16001
910105012	雷神的深邃	101	{5,7}	[{5,[{213,90},{214,10}]}]	{6,7,17002}	16001
910106012	雷神的深邃	101	{6,8}	[{5,[{213,90},{214,10}]}]	{7,8,17002}	16001
910107012	雷神的深邃	101	{7,9}	[{5,[{213,90},{214,10}]}]	{8,9,17002}	16001
910108012	雷神的深邃	101	{8,10}	[{5,[{213,90},{214,10}]}]	{9,10,17002}	16001
910109012	雷神的深邃	101	{9,11}	[{5,[{213,90},{214,10}]}]	{10,11,17002}	16001
910110012	雷神的深邃	101	{10,12}	[{5,[{213,90},{214,10}]}]	{11,12,17002}	16001
910200112	雷神的甲胄	102	{1,2}	[{5,[{213,90},{214,10}]}]	{1,2,17002}	16001
910201012	雷神的甲胄	102	{1,3}	[{5,[{213,90},{214,10}]}]	{2,3,17002}	16001
910202012	雷神的甲胄	102	{2,4}	[{5,[{213,90},{214,10}]}]	{3,4,17002}	16001
910203012	雷神的甲胄	102	{3,5}	[{5,[{213,90},{214,10}]}]	{4,5,17002}	16001
910204012	雷神的甲胄	102	{4,6}	[{5,[{213,90},{214,10}]}]	{5,6,17002}	16001
910205012	雷神的甲胄	102	{5,7}	[{5,[{213,90},{214,10}]}]	{6,7,17002}	16001
910206012	雷神的甲胄	102	{6,8}	[{5,[{213,90},{214,10}]}]	{7,8,17002}	16001
910207012	雷神的甲胄	102	{7,9}	[{5,[{213,90},{214,10}]}]	{8,9,17002}	16001
910208012	雷神的甲胄	102	{8,10}	[{5,[{213,90},{214,10}]}]	{9,10,17002}	16001
910209012	雷神的甲胄	102	{9,11}	[{5,[{213,90},{214,10}]}]	{10,11,17002}	16001
910210012	雷神的甲胄	102	{10,12}	[{5,[{213,90},{214,10}]}]	{11,12,17002}	16001
910300112	雷神的守护者	103	{1,2}	[{5,[{213,90},{214,10}]}]	{1,2,17002}	16001
910301012	雷神的守护者	103	{1,3}	[{5,[{213,90},{214,10}]}]	{2,3,17002}	16001
910302012	雷神的守护者	103	{2,4}	[{5,[{213,90},{214,10}]}]	{3,4,17002}	16001
910303012	雷神的守护者	103	{3,5}	[{5,[{213,90},{214,10}]}]	{4,5,17002}	16001
910304012	雷神的守护者	103	{4,6}	[{5,[{213,90},{214,10}]}]	{5,6,17002}	16001
910305012	雷神的守护者	103	{5,7}	[{5,[{213,90},{214,10}]}]	{6,7,17002}	16001
910306012	雷神的守护者	103	{6,8}	[{5,[{213,90},{214,10}]}]	{7,8,17002}	16001
910307012	雷神的守护者	103	{7,9}	[{5,[{213,90},{214,10}]}]	{8,9,17002}	16001
910308012	雷神的守护者	103	{8,10}	[{5,[{213,90},{214,10}]}]	{9,10,17002}	16001
910309012	雷神的守护者	103	{9,11}	[{5,[{213,90},{214,10}]}]	{10,11,17002}	16001
910310012	雷神的守护者	103	{10,12}	[{5,[{213,90},{214,10}]}]	{11,12,17002}	16001
910400112	雷神的护腿	104	{1,2}	[{5,[{213,90},{214,10}]}]	{1,2,17002}	16001
910401012	雷神的护腿	104	{1,3}	[{5,[{213,90},{214,10}]}]	{2,3,17002}	16001
910402012	雷神的护腿	104	{2,4}	[{5,[{213,90},{214,10}]}]	{3,4,17002}	16001
910403012	雷神的护腿	104	{3,5}	[{5,[{213,90},{214,10}]}]	{4,5,17002}	16001
910404012	雷神的护腿	104	{4,6}	[{5,[{213,90},{214,10}]}]	{5,6,17002}	16001
910405012	雷神的护腿	104	{5,7}	[{5,[{213,90},{214,10}]}]	{6,7,17002}	16001
910406012	雷神的护腿	104	{6,8}	[{5,[{213,90},{214,10}]}]	{7,8,17002}	16001
910407012	雷神的护腿	104	{7,9}	[{5,[{213,90},{214,10}]}]	{8,9,17002}	16001
910408012	雷神的护腿	104	{8,10}	[{5,[{213,90},{214,10}]}]	{9,10,17002}	16001
910409012	雷神的护腿	104	{9,11}	[{5,[{213,90},{214,10}]}]	{10,11,17002}	16001
910410012	雷神的护腿	104	{10,12}	[{5,[{213,90},{214,10}]}]	{11,12,17002}	16001
910500112	雷神的足迹	105	{1,2}	[{5,[{213,90},{214,10}]}]	{1,2,17002}	16001
910501012	雷神的足迹	105	{1,3}	[{5,[{213,90},{214,10}]}]	{2,3,17002}	16001
910502012	雷神的足迹	105	{2,4}	[{5,[{213,90},{214,10}]}]	{3,4,17002}	16001
910503012	雷神的足迹	105	{3,5}	[{5,[{213,90},{214,10}]}]	{4,5,17002}	16001
910504012	雷神的足迹	105	{4,6}	[{5,[{213,90},{214,10}]}]	{5,6,17002}	16001
910505012	雷神的足迹	105	{5,7}	[{5,[{213,90},{214,10}]}]	{6,7,17002}	16001
910506012	雷神的足迹	105	{6,8}	[{5,[{213,90},{214,10}]}]	{7,8,17002}	16001
910507012	雷神的足迹	105	{7,9}	[{5,[{213,90},{214,10}]}]	{8,9,17002}	16001
910508012	雷神的足迹	105	{8,10}	[{5,[{213,90},{214,10}]}]	{9,10,17002}	16001
910509012	雷神的足迹	105	{9,11}	[{5,[{213,90},{214,10}]}]	{10,11,17002}	16001
910510012	雷神的足迹	105	{10,12}	[{5,[{213,90},{214,10}]}]	{11,12,17002}	16001
911000113	精灵的血祭	110	{1,2}	[{5,[{213,90},{214,10}]}]	{1,2,17003}	16001
911001013	精灵的血祭	110	{1,3}	[{5,[{213,90},{214,10}]}]	{2,3,17003}	16001
911002013	精灵的血祭	110	{2,4}	[{5,[{213,90},{214,10}]}]	{3,4,17003}	16001
911003013	精灵的血祭	110	{3,5}	[{5,[{213,90},{214,10}]}]	{4,5,17003}	16001
911004013	精灵的血祭	110	{4,6}	[{5,[{213,90},{214,10}]}]	{5,6,17003}	16001
911005013	精灵的血祭	110	{5,7}	[{5,[{213,90},{214,10}]}]	{6,7,17003}	16001
911006013	精灵的血祭	110	{6,8}	[{5,[{213,90},{214,10}]}]	{7,8,17003}	16001
911007013	精灵的血祭	110	{7,9}	[{5,[{213,90},{214,10}]}]	{8,9,17003}	16001
911008013	精灵的血祭	110	{8,10}	[{5,[{213,90},{214,10}]}]	{9,10,17003}	16001
911009013	精灵的血祭	110	{9,11}	[{5,[{213,90},{214,10}]}]	{10,11,17003}	16001
911010013	精灵的血祭	110	{10,12}	[{5,[{213,90},{214,10}]}]	{11,12,17003}	16001
910100113	精灵的智慧星	101	{1,2}	[{5,[{213,90},{214,10}]}]	{1,2,17003}	16001
910101013	精灵的智慧星	101	{1,3}	[{5,[{213,90},{214,10}]}]	{2,3,17003}	16001
910102013	精灵的智慧星	101	{2,4}	[{5,[{213,90},{214,10}]}]	{3,4,17003}	16001
910103013	精灵的智慧星	101	{3,5}	[{5,[{213,90},{214,10}]}]	{4,5,17003}	16001
910104013	精灵的智慧星	101	{4,6}	[{5,[{213,90},{214,10}]}]	{5,6,17003}	16001
910105013	精灵的智慧星	101	{5,7}	[{5,[{213,90},{214,10}]}]	{6,7,17003}	16001
910106013	精灵的智慧星	101	{6,8}	[{5,[{213,90},{214,10}]}]	{7,8,17003}	16001
910107013	精灵的智慧星	101	{7,9}	[{5,[{213,90},{214,10}]}]	{8,9,17003}	16001
910108013	精灵的智慧星	101	{8,10}	[{5,[{213,90},{214,10}]}]	{9,10,17003}	16001
910109013	精灵的智慧星	101	{9,11}	[{5,[{213,90},{214,10}]}]	{10,11,17003}	16001
910110013	精灵的智慧星	101	{10,12}	[{5,[{213,90},{214,10}]}]	{11,12,17003}	16001
910200113	精灵的天蚕丝	102	{1,2}	[{5,[{213,90},{214,10}]}]	{1,2,17003}	16001
910201013	精灵的天蚕丝	102	{1,3}	[{5,[{213,90},{214,10}]}]	{2,3,17003}	16001
910202013	精灵的天蚕丝	102	{2,4}	[{5,[{213,90},{214,10}]}]	{3,4,17003}	16001
910203013	精灵的天蚕丝	102	{3,5}	[{5,[{213,90},{214,10}]}]	{4,5,17003}	16001
910204013	精灵的天蚕丝	102	{4,6}	[{5,[{213,90},{214,10}]}]	{5,6,17003}	16001
910205013	精灵的天蚕丝	102	{5,7}	[{5,[{213,90},{214,10}]}]	{6,7,17003}	16001
910206013	精灵的天蚕丝	102	{6,8}	[{5,[{213,90},{214,10}]}]	{7,8,17003}	16001
910207013	精灵的天蚕丝	102	{7,9}	[{5,[{213,90},{214,10}]}]	{8,9,17003}	16001
910208013	精灵的天蚕丝	102	{8,10}	[{5,[{213,90},{214,10}]}]	{9,10,17003}	16001
910209013	精灵的天蚕丝	102	{9,11}	[{5,[{213,90},{214,10}]}]	{10,11,17003}	16001
910210013	精灵的天蚕丝	102	{10,12}	[{5,[{213,90},{214,10}]}]	{11,12,17003}	16001
910300113	精灵的梦幻舞	103	{1,2}	[{5,[{213,90},{214,10}]}]	{1,2,17003}	16001
910301013	精灵的梦幻舞	103	{1,3}	[{5,[{213,90},{214,10}]}]	{2,3,17003}	16001
910302013	精灵的梦幻舞	103	{2,4}	[{5,[{213,90},{214,10}]}]	{3,4,17003}	16001
910303013	精灵的梦幻舞	103	{3,5}	[{5,[{213,90},{214,10}]}]	{4,5,17003}	16001
910304013	精灵的梦幻舞	103	{4,6}	[{5,[{213,90},{214,10}]}]	{5,6,17003}	16001
910305013	精灵的梦幻舞	103	{5,7}	[{5,[{213,90},{214,10}]}]	{6,7,17003}	16001
910306013	精灵的梦幻舞	103	{6,8}	[{5,[{213,90},{214,10}]}]	{7,8,17003}	16001
910307013	精灵的梦幻舞	103	{7,9}	[{5,[{213,90},{214,10}]}]	{8,9,17003}	16001
910308013	精灵的梦幻舞	103	{8,10}	[{5,[{213,90},{214,10}]}]	{9,10,17003}	16001
910309013	精灵的梦幻舞	103	{9,11}	[{5,[{213,90},{214,10}]}]	{10,11,17003}	16001
910310013	精灵的梦幻舞	103	{10,12}	[{5,[{213,90},{214,10}]}]	{11,12,17003}	16001
910400113	精灵的缥缈	104	{1,2}	[{5,[{213,90},{214,10}]}]	{1,2,17003}	16001
910401013	精灵的缥缈	104	{1,3}	[{5,[{213,90},{214,10}]}]	{2,3,17003}	16001
910402013	精灵的缥缈	104	{2,4}	[{5,[{213,90},{214,10}]}]	{3,4,17003}	16001
910403013	精灵的缥缈	104	{3,5}	[{5,[{213,90},{214,10}]}]	{4,5,17003}	16001
910404013	精灵的缥缈	104	{4,6}	[{5,[{213,90},{214,10}]}]	{5,6,17003}	16001
910405013	精灵的缥缈	104	{5,7}	[{5,[{213,90},{214,10}]}]	{6,7,17003}	16001
910406013	精灵的缥缈	104	{6,8}	[{5,[{213,90},{214,10}]}]	{7,8,17003}	16001
910407013	精灵的缥缈	104	{7,9}	[{5,[{213,90},{214,10}]}]	{8,9,17003}	16001
910408013	精灵的缥缈	104	{8,10}	[{5,[{213,90},{214,10}]}]	{9,10,17003}	16001
910409013	精灵的缥缈	104	{9,11}	[{5,[{213,90},{214,10}]}]	{10,11,17003}	16001
910410013	精灵的缥缈	104	{10,12}	[{5,[{213,90},{214,10}]}]	{11,12,17003}	16001
910500113	精灵的迅捷	105	{1,2}	[{5,[{213,90},{214,10}]}]	{1,2,17003}	16001
910501013	精灵的迅捷	105	{1,3}	[{5,[{213,90},{214,10}]}]	{2,3,17003}	16001
910502013	精灵的迅捷	105	{2,4}	[{5,[{213,90},{214,10}]}]	{3,4,17003}	16001
910503013	精灵的迅捷	105	{3,5}	[{5,[{213,90},{214,10}]}]	{4,5,17003}	16001
910504013	精灵的迅捷	105	{4,6}	[{5,[{213,90},{214,10}]}]	{5,6,17003}	16001
910505013	精灵的迅捷	105	{5,7}	[{5,[{213,90},{214,10}]}]	{6,7,17003}	16001
910506013	精灵的迅捷	105	{6,8}	[{5,[{213,90},{214,10}]}]	{7,8,17003}	16001
910507013	精灵的迅捷	105	{7,9}	[{5,[{213,90},{214,10}]}]	{8,9,17003}	16001
910508013	精灵的迅捷	105	{8,10}	[{5,[{213,90},{214,10}]}]	{9,10,17003}	16001
910509013	精灵的迅捷	105	{9,11}	[{5,[{213,90},{214,10}]}]	{10,11,17003}	16001
910510013	精灵的迅捷	105	{10,12}	[{5,[{213,90},{214,10}]}]	{11,12,17003}	16001
911000114	远古的召唤者	110	{1,2}	[{5,[{213,90},{214,10}]}]	{1,2,17004}	16001
911001014	远古的召唤者	110	{1,3}	[{5,[{213,90},{214,10}]}]	{2,3,17004}	16001
911002014	远古的召唤者	110	{2,4}	[{5,[{213,90},{214,10}]}]	{3,4,17004}	16001
911003014	远古的召唤者	110	{3,5}	[{5,[{213,90},{214,10}]}]	{4,5,17004}	16001
911004014	远古的召唤者	110	{4,6}	[{5,[{213,90},{214,10}]}]	{5,6,17004}	16001
911005014	远古的召唤者	110	{5,7}	[{5,[{213,90},{214,10}]}]	{6,7,17004}	16001
911006014	远古的召唤者	110	{6,8}	[{5,[{213,90},{214,10}]}]	{7,8,17004}	16001
911007014	远古的召唤者	110	{7,9}	[{5,[{213,90},{214,10}]}]	{8,9,17004}	16001
911008014	远古的召唤者	110	{8,10}	[{5,[{213,90},{214,10}]}]	{9,10,17004}	16001
911009014	远古的召唤者	110	{9,11}	[{5,[{213,90},{214,10}]}]	{10,11,17004}	16001
911010014	远古的召唤者	110	{10,12}	[{5,[{213,90},{214,10}]}]	{11,12,17004}	16001
910100114	远古的思想者	101	{1,2}	[{5,[{213,90},{214,10}]}]	{1,2,17004}	16001
910101014	远古的思想者	101	{1,3}	[{5,[{213,90},{214,10}]}]	{2,3,17004}	16001
910102014	远古的思想者	101	{2,4}	[{5,[{213,90},{214,10}]}]	{3,4,17004}	16001
910103014	远古的思想者	101	{3,5}	[{5,[{213,90},{214,10}]}]	{4,5,17004}	16001
910104014	远古的思想者	101	{4,6}	[{5,[{213,90},{214,10}]}]	{5,6,17004}	16001
910105014	远古的思想者	101	{5,7}	[{5,[{213,90},{214,10}]}]	{6,7,17004}	16001
910106014	远古的思想者	101	{6,8}	[{5,[{213,90},{214,10}]}]	{7,8,17004}	16001
910107014	远古的思想者	101	{7,9}	[{5,[{213,90},{214,10}]}]	{8,9,17004}	16001
910108014	远古的思想者	101	{8,10}	[{5,[{213,90},{214,10}]}]	{9,10,17004}	16001
910109014	远古的思想者	101	{9,11}	[{5,[{213,90},{214,10}]}]	{10,11,17004}	16001
910110014	远古的思想者	101	{10,12}	[{5,[{213,90},{214,10}]}]	{11,12,17004}	16001
910200114	远古的护佑者	102	{1,2}	[{5,[{213,90},{214,10}]}]	{1,2,17004}	16001
910201014	远古的护佑者	102	{1,3}	[{5,[{213,90},{214,10}]}]	{2,3,17004}	16001
910202014	远古的护佑者	102	{2,4}	[{5,[{213,90},{214,10}]}]	{3,4,17004}	16001
910203014	远古的护佑者	102	{3,5}	[{5,[{213,90},{214,10}]}]	{4,5,17004}	16001
910204014	远古的护佑者	102	{4,6}	[{5,[{213,90},{214,10}]}]	{5,6,17004}	16001
910205014	远古的护佑者	102	{5,7}	[{5,[{213,90},{214,10}]}]	{6,7,17004}	16001
910206014	远古的护佑者	102	{6,8}	[{5,[{213,90},{214,10}]}]	{7,8,17004}	16001
910207014	远古的护佑者	102	{7,9}	[{5,[{213,90},{214,10}]}]	{8,9,17004}	16001
910208014	远古的护佑者	102	{8,10}	[{5,[{213,90},{214,10}]}]	{9,10,17004}	16001
910209014	远古的护佑者	102	{9,11}	[{5,[{213,90},{214,10}]}]	{10,11,17004}	16001
910210014	远古的护佑者	102	{10,12}	[{5,[{213,90},{214,10}]}]	{11,12,17004}	16001
910300114	远古的朴实	103	{1,2}	[{5,[{213,90},{214,10}]}]	{1,2,17004}	16001
910301014	远古的朴实	103	{1,3}	[{5,[{213,90},{214,10}]}]	{2,3,17004}	16001
910302014	远古的朴实	103	{2,4}	[{5,[{213,90},{214,10}]}]	{3,4,17004}	16001
910303014	远古的朴实	103	{3,5}	[{5,[{213,90},{214,10}]}]	{4,5,17004}	16001
910304014	远古的朴实	103	{4,6}	[{5,[{213,90},{214,10}]}]	{5,6,17004}	16001
910305014	远古的朴实	103	{5,7}	[{5,[{213,90},{214,10}]}]	{6,7,17004}	16001
910306014	远古的朴实	103	{6,8}	[{5,[{213,90},{214,10}]}]	{7,8,17004}	16001
910307014	远古的朴实	103	{7,9}	[{5,[{213,90},{214,10}]}]	{8,9,17004}	16001
910308014	远古的朴实	103	{8,10}	[{5,[{213,90},{214,10}]}]	{9,10,17004}	16001
910309014	远古的朴实	103	{9,11}	[{5,[{213,90},{214,10}]}]	{10,11,17004}	16001
910310014	远古的朴实	103	{10,12}	[{5,[{213,90},{214,10}]}]	{11,12,17004}	16001
910400114	远古的膝甲	104	{1,2}	[{5,[{213,90},{214,10}]}]	{1,2,17004}	16001
910401014	远古的膝甲	104	{1,3}	[{5,[{213,90},{214,10}]}]	{2,3,17004}	16001
910402014	远古的膝甲	104	{2,4}	[{5,[{213,90},{214,10}]}]	{3,4,17004}	16001
910403014	远古的膝甲	104	{3,5}	[{5,[{213,90},{214,10}]}]	{4,5,17004}	16001
910404014	远古的膝甲	104	{4,6}	[{5,[{213,90},{214,10}]}]	{5,6,17004}	16001
910405014	远古的膝甲	104	{5,7}	[{5,[{213,90},{214,10}]}]	{6,7,17004}	16001
910406014	远古的膝甲	104	{6,8}	[{5,[{213,90},{214,10}]}]	{7,8,17004}	16001
910407014	远古的膝甲	104	{7,9}	[{5,[{213,90},{214,10}]}]	{8,9,17004}	16001
910408014	远古的膝甲	104	{8,10}	[{5,[{213,90},{214,10}]}]	{9,10,17004}	16001
910409014	远古的膝甲	104	{9,11}	[{5,[{213,90},{214,10}]}]	{10,11,17004}	16001
910410014	远古的膝甲	104	{10,12}	[{5,[{213,90},{214,10}]}]	{11,12,17004}	16001
910500114	远古的步伐	105	{1,2}	[{5,[{213,90},{214,10}]}]	{1,2,17004}	16001
910501014	远古的步伐	105	{1,3}	[{5,[{213,90},{214,10}]}]	{2,3,17004}	16001
910502014	远古的步伐	105	{2,4}	[{5,[{213,90},{214,10}]}]	{3,4,17004}	16001
910503014	远古的步伐	105	{3,5}	[{5,[{213,90},{214,10}]}]	{4,5,17004}	16001
910504014	远古的步伐	105	{4,6}	[{5,[{213,90},{214,10}]}]	{5,6,17004}	16001
910505014	远古的步伐	105	{5,7}	[{5,[{213,90},{214,10}]}]	{6,7,17004}	16001
910506014	远古的步伐	105	{6,8}	[{5,[{213,90},{214,10}]}]	{7,8,17004}	16001
910507014	远古的步伐	105	{7,9}	[{5,[{213,90},{214,10}]}]	{8,9,17004}	16001
910508014	远古的步伐	105	{8,10}	[{5,[{213,90},{214,10}]}]	{9,10,17004}	16001
910509014	远古的步伐	105	{9,11}	[{5,[{213,90},{214,10}]}]	{10,11,17004}	16001
910510014	远古的步伐	105	{10,12}	[{5,[{213,90},{214,10}]}]	{11,12,17004}	16001
911000115	天空的终结者	110	{1,2}	[{5,[{213,90},{214,10}]}]	{1,2,17005}	16001
911001015	天空的终结者	110	{1,3}	[{5,[{213,90},{214,10}]}]	{2,3,17005}	16001
911002015	天空的终结者	110	{2,4}	[{5,[{213,90},{214,10}]}]	{3,4,17005}	16001
