id	等级	升级经验	升级消耗{costid,经验}	阶数	进阶消耗costid	升级增加属性	进阶属性	形象id	吐出的奖励id	吐出的cd秒}	每天喷吐次数	获得愉悦值（costid,最小值,最大值）
85	85	115700	{13100,100}			[{15,5870},{16,5870},{17,5870},{18,5870}]		5	170009	21600	3	{13300,3,7}
86	86	118436	{13100,100}			[{15,6000},{16,6000},{17,6000},{18,6000}]		5	170009	21600	3	{13300,3,7}
87	87	121204	{13100,100}			[{15,6130},{16,6130},{17,6130},{18,6130}]		5	170009	21600	3	{13300,3,7}
88	88	124004	{13100,100}			[{15,6260},{16,6260},{17,6260},{18,6260}]		5	170009	21600	3	{13300,3,7}
89	89	126836	{13100,100}			[{15,6390},{16,6390},{17,6390},{18,6390}]		5	170009	21600	3	{13300,3,7}
90	90	129700	{13100,100}	9	13209	[{15,6520},{16,6520},{17,6520},{18,6520}]	[{15,1800},{16,1800},{17,1800},{18,1800}]	5	170009	21600	3	{13300,3,7}
91	91	132596	{13100,100}			[{15,6650},{16,6650},{17,6650},{18,6650}]		5	170010	21600	3	{13300,3,7}
92	92	135524	{13100,100}			[{15,6800},{16,6800},{17,6800},{18,6800}]		5	170010	21600	3	{13300,3,7}
93	93	138484	{13100,100}			[{15,6950},{16,6950},{17,6950},{18,6950}]		5	170010	21600	3	{13300,3,7}
94	94	141476	{13100,100}			[{15,7100},{16,7100},{17,7100},{18,7100}]		5	170010	21600	3	{13300,3,7}
95	95	144500	{13100,100}			[{15,7250},{16,7250},{17,7250},{18,7250}]		5	170010	21600	3	{13300,3,7}
96	96	147556	{13100,100}			[{15,7400},{16,7400},{17,7400},{18,7400}]		5	170010	21600	3	{13300,3,7}
97	97	150644	{13100,100}			[{15,7550},{16,7550},{17,7550},{18,7550}]		5	170010	21600	3	{13300,3,7}
98	98	153764	{13100,100}			[{15,7700},{16,7700},{17,7700},{18,7700}]		5	170010	21600	3	{13300,3,7}
99	99	156916	{13100,100}			[{15,7850},{16,7850},{17,7850},{18,7850}]		5	170010	21600	3	{13300,3,7}
100	100	160100	{13100,100}	10	13210	[{15,8000},{16,8000},{17,8000},{18,8000}]	[{15,2000},{16,2000},{17,2000},{18,2000}]	5	170010	21600	3	{13300,3,7}
