索引id	技能id	技能等级	技能消耗	技能升级伤害
10510059	10510001	59	10059	2950
10510060	10510001	60	10060	3000
10510061	10510001	61	10061	3050
10510062	10510001	62	10062	3100
10510063	10510001	63	10063	3150
10510064	10510001	64	10064	3200
10510065	10510001	65	10065	3250
10510066	10510001	66	10066	3300
10510067	10510001	67	10067	3350
10510068	10510001	68	10068	3400
10510069	10510001	69	10069	3450
10510070	10510001	70	10070	3500
10510071	10510001	71	10071	3550
10510072	10510001	72	10072	3600
10510073	10510001	73	10073	3650
10510074	10510001	74	10074	3700
10510075	10510001	75	10075	3750
10510076	10510001	76	10076	3800
10510077	10510001	77	10077	3850
10510078	10510001	78	10078	3900
10510079	10510001	79	10079	3950
10510080	10510001	80	10080	4000
10510081	10510001	81	10081	4050
10510082	10510001	82	10082	4100
10510083	10510001	83	10083	4150
10510084	10510001	84	10084	4200
10510085	10510001	85	10085	4250
10510086	10510001	86	10086	4300
10510087	10510001	87	10087	4350
10510088	10510001	88	10088	4400
10510089	10510001	89	10089	4450
10510090	10510001	90	10090	4500
10510091	10510001	91	10091	4550
10510092	10510001	92	10092	4600
10510093	10510001	93	10093	4650
10510094	10510001	94	10094	4700
10510095	10510001	95	10095	4750
10510096	10510001	96	10096	4800
10510097	10510001	97	10097	4850
10510098	10510001	98	10098	4900
10510099	10510001	99	10099	4950
10510100	10510001	100	10100	5000
10610001	10610001	1	10001	50
10610002	10610001	2	10002	100
10610003	10610001	3	10003	150
10610004	10610001	4	10004	200
10610005	10610001	5	10005	250
10610006	10610001	6	10006	300
10610007	10610001	7	10007	350
10610008	10610001	8	10008	400
10610009	10610001	9	10009	450
10610010	10610001	10	10010	500
10610011	10610001	11	10011	550
10610012	10610001	12	10012	600
10610013	10610001	13	10013	650
10610014	10610001	14	10014	700
10610015	10610001	15	10015	750
10610016	10610001	16	10016	800
10610017	10610001	17	10017	850
10610018	10610001	18	10018	900
10610019	10610001	19	10019	950
10610020	10610001	20	10020	1000
10610021	10610001	21	10021	1050
10610022	10610001	22	10022	1100
10610023	10610001	23	10023	1150
10610024	10610001	24	10024	1200
10610025	10610001	25	10025	1250
10610026	10610001	26	10026	1300
10610027	10610001	27	10027	1350
10610028	10610001	28	10028	1400
10610029	10610001	29	10029	1450
10610030	10610001	30	10030	1500
10610031	10610001	31	10031	1550
10610032	10610001	32	10032	1600
10610033	10610001	33	10033	1650
10610034	10610001	34	10034	1700
10610035	10610001	35	10035	1750
10610036	10610001	36	10036	1800
10610037	10610001	37	10037	1850
10610038	10610001	38	10038	1900
10610039	10610001	39	10039	1950
10610040	10610001	40	10040	2000
10610041	10610001	41	10041	2050
10610042	10610001	42	10042	2100
10610043	10610001	43	10043	2150
10610044	10610001	44	10044	2200
10610045	10610001	45	10045	2250
10610046	10610001	46	10046	2300
10610047	10610001	47	10047	2350
10610048	10610001	48	10048	2400
10610049	10610001	49	10049	2450
10610050	10610001	50	10050	2500
10610051	10610001	51	10051	2550
10610052	10610001	52	10052	2600
10610053	10610001	53	10053	2650
10610054	10610001	54	10054	2700
10610055	10610001	55	10055	2750
10610056	10610001	56	10056	2800
10610057	10610001	57	10057	2850
10610058	10610001	58	10058	2900
10610059	10610001	59	10059	2950
10610060	10610001	60	10060	3000
10610061	10610001	61	10061	3050
10610062	10610001	62	10062	3100
10610063	10610001	63	10063	3150
10610064	10610001	64	10064	3200
10610065	10610001	65	10065	3250
10610066	10610001	66	10066	3300
10610067	10610001	67	10067	3350
10610068	10610001	68	10068	3400
10610069	10610001	69	10069	3450
10610070	10610001	70	10070	3500
10610071	10610001	71	10071	3550
10610072	10610001	72	10072	3600
10610073	10610001	73	10073	3650
10610074	10610001	74	10074	3700
10610075	10610001	75	10075	3750
10610076	10610001	76	10076	3800
10610077	10610001	77	10077	3850
10610078	10610001	78	10078	3900
10610079	10610001	79	10079	3950
10610080	10610001	80	10080	4000
10610081	10610001	81	10081	4050
10610082	10610001	82	10082	4100
10610083	10610001	83	10083	4150
10610084	10610001	84	10084	4200
10610085	10610001	85	10085	4250
10610086	10610001	86	10086	4300
10610087	10610001	87	10087	4350
10610088	10610001	88	10088	4400
10610089	10610001	89	10089	4450
10610090	10610001	90	10090	4500
10610091	10610001	91	10091	4550
10610092	10610001	92	10092	4600
10610093	10610001	93	10093	4650
10610094	10610001	94	10094	4700
10610095	10610001	95	10095	4750
10610096	10610001	96	10096	4800
10610097	10610001	97	10097	4850
10610098	10610001	98	10098	4900
10610099	10610001	99	10099	4950
10610100	10610001	100	10100	5000
10710001	10710001	1	10001	50
10710002	10710001	2	10002	100
10710003	10710001	3	10003	150
10710004	10710001	4	10004	200
10710005	10710001	5	10005	250
10710006	10710001	6	10006	300
10710007	10710001	7	10007	350
10710008	10710001	8	10008	400
10710009	10710001	9	10009	450
10710010	10710001	10	10010	500
10710011	10710001	11	10011	550
10710012	10710001	12	10012	600
10710013	10710001	13	10013	650
10710014	10710001	14	10014	700
10710015	10710001	15	10015	750
10710016	10710001	16	10016	800
10710017	10710001	17	10017	850
10710018	10710001	18	10018	900
10710019	10710001	19	10019	950
10710020	10710001	20	10020	1000
10710021	10710001	21	10021	1050
10710022	10710001	22	10022	1100
10710023	10710001	23	10023	1150
10710024	10710001	24	10024	1200
10710025	10710001	25	10025	1250
10710026	10710001	26	10026	1300
10710027	10710001	27	10027	1350
10710028	10710001	28	10028	1400
10710029	10710001	29	10029	1450
10710030	10710001	30	10030	1500
10710031	10710001	31	10031	1550
10710032	10710001	32	10032	1600
10710033	10710001	33	10033	1650
10710034	10710001	34	10034	1700
10710035	10710001	35	10035	1750
10710036	10710001	36	10036	1800
10710037	10710001	37	10037	1850
10710038	10710001	38	10038	1900
10710039	10710001	39	10039	1950
10710040	10710001	40	10040	2000
10710041	10710001	41	10041	2050
10710042	10710001	42	10042	2100
10710043	10710001	43	10043	2150
10710044	10710001	44	10044	2200
10710045	10710001	45	10045	2250
10710046	10710001	46	10046	2300
10710047	10710001	47	10047	2350
10710048	10710001	48	10048	2400
10710049	10710001	49	10049	2450
10710050	10710001	50	10050	2500
10710051	10710001	51	10051	2550
10710052	10710001	52	10052	2600
10710053	10710001	53	10053	2650
10710054	10710001	54	10054	2700
10710055	10710001	55	10055	2750
10710056	10710001	56	10056	2800
10710057	10710001	57	10057	2850
10710058	10710001	58	10058	2900
10710059	10710001	59	10059	2950
10710060	10710001	60	10060	3000
10710061	10710001	61	10061	3050
10710062	10710001	62	10062	3100
10710063	10710001	63	10063	3150
10710064	10710001	64	10064	3200
10710065	10710001	65	10065	3250
10710066	10710001	66	10066	3300
10710067	10710001	67	10067	3350
10710068	10710001	68	10068	3400
10710069	10710001	69	10069	3450
10710070	10710001	70	10070	3500
10710071	10710001	71	10071	3550
10710072	10710001	72	10072	3600
10710073	10710001	73	10073	3650
10710074	10710001	74	10074	3700
10710075	10710001	75	10075	3750
10710076	10710001	76	10076	3800
10710077	10710001	77	10077	3850
10710078	10710001	78	10078	3900
10710079	10710001	79	10079	3950
10710080	10710001	80	10080	4000
10710081	10710001	81	10081	4050
10710082	10710001	82	10082	4100
10710083	10710001	83	10083	4150
10710084	10710001	84	10084	4200
10710085	10710001	85	10085	4250
10710086	10710001	86	10086	4300
10710087	10710001	87	10087	4350
10710088	10710001	88	10088	4400
10710089	10710001	89	10089	4450
10710090	10710001	90	10090	4500
10710091	10710001	91	10091	4550
10710092	10710001	92	10092	4600
10710093	10710001	93	10093	4650
10710094	10710001	94	10094	4700
10710095	10710001	95	10095	4750
10710096	10710001	96	10096	4800
10710097	10710001	97	10097	4850
10710098	10710001	98	10098	4900
10710099	10710001	99	10099	4950
10710100	10710001	100	10100	5000
10810001	10810001	1	10001	50
10810002	10810001	2	10002	100
10810003	10810001	3	10003	150
10810004	10810001	4	10004	200
10810005	10810001	5	10005	250
10810006	10810001	6	10006	300
10810007	10810001	7	10007	350
10810008	10810001	8	10008	400
10810009	10810001	9	10009	450
10810010	10810001	10	10010	500
10810011	10810001	11	10011	550
10810012	10810001	12	10012	600
10810013	10810001	13	10013	650
10810014	10810001	14	10014	700
10810015	10810001	15	10015	750
10810016	10810001	16	10016	800
10810017	10810001	17	10017	850
10810018	10810001	18	10018	900
10810019	10810001	19	10019	950
10810020	10810001	20	10020	1000
10810021	10810001	21	10021	1050
10810022	10810001	22	10022	1100
10810023	10810001	23	10023	1150
10810024	10810001	24	10024	1200
10810025	10810001	25	10025	1250
10810026	10810001	26	10026	1300
10810027	10810001	27	10027	1350
10810028	10810001	28	10028	1400
10810029	10810001	29	10029	1450
10810030	10810001	30	10030	1500
10810031	10810001	31	10031	1550
10810032	10810001	32	10032	1600
10810033	10810001	33	10033	1650
10810034	10810001	34	10034	1700
10810035	10810001	35	10035	1750
10810036	10810001	36	10036	1800
10810037	10810001	37	10037	1850
10810038	10810001	38	10038	1900
10810039	10810001	39	10039	1950
10810040	10810001	40	10040	2000
10810041	10810001	41	10041	2050
10810042	10810001	42	10042	2100
10810043	10810001	43	10043	2150
10810044	10810001	44	10044	2200
10810045	10810001	45	10045	2250
10810046	10810001	46	10046	2300
10810047	10810001	47	10047	2350
10810048	10810001	48	10048	2400
10810049	10810001	49	10049	2450
10810050	10810001	50	10050	2500
10810051	10810001	51	10051	2550
10810052	10810001	52	10052	2600
10810053	10810001	53	10053	2650
10810054	10810001	54	10054	2700
10810055	10810001	55	10055	2750
10810056	10810001	56	10056	2800
10810057	10810001	57	10057	2850
10810058	10810001	58	10058	2900
10810059	10810001	59	10059	2950
10810060	10810001	60	10060	3000
10810061	10810001	61	10061	3050
10810062	10810001	62	10062	3100
10810063	10810001	63	10063	3150
10810064	10810001	64	10064	3200
10810065	10810001	65	10065	3250
10810066	10810001	66	10066	3300
10810067	10810001	67	10067	3350
10810068	10810001	68	10068	3400
10810069	10810001	69	10069	3450
10810070	10810001	70	10070	3500
10810071	10810001	71	10071	3550
10810072	10810001	72	10072	3600
10810073	10810001	73	10073	3650
10810074	10810001	74	10074	3700
10810075	10810001	75	10075	3750
10810076	10810001	76	10076	3800
10810077	10810001	77	10077	3850
10810078	10810001	78	10078	3900
10810079	10810001	79	10079	3950
10810080	10810001	80	10080	4000
10810081	10810001	81	10081	4050
10810082	10810001	82	10082	4100
10810083	10810001	83	10083	4150
10810084	10810001	84	10084	4200
10810085	10810001	85	10085	4250
10810086	10810001	86	10086	4300
10810087	10810001	87	10087	4350
10810088	10810001	88	10088	4400
10810089	10810001	89	10089	4450
10810090	10810001	90	10090	4500
10810091	10810001	91	10091	4550
10810092	10810001	92	10092	4600
10810093	10810001	93	10093	4650
10810094	10810001	94	10094	4700
10810095	10810001	95	10095	4750
10810096	10810001	96	10096	4800
10810097	10810001	97	10097	4850
10810098	10810001	98	10098	4900
10810099	10810001	99	10099	4950
10810100	10810001	100	10100	5000
10910001	10910001	1	10001	50
10910002	10910001	2	10002	100
10910003	10910001	3	10003	150
10910004	10910001	4	10004	200
10910005	10910001	5	10005	250
10910006	10910001	6	10006	300
10910007	10910001	7	10007	350
10910008	10910001	8	10008	400
10910009	10910001	9	10009	450
10910010	10910001	10	10010	500
10910011	10910001	11	10011	550
10910012	10910001	12	10012	600
10910013	10910001	13	10013	650
10910014	10910001	14	10014	700
10910015	10910001	15	10015	750
10910016	10910001	16	10016	800
10910017	10910001	17	10017	850
10910018	10910001	18	10018	900
10910019	10910001	19	10019	950
10910020	10910001	20	10020	1000
10910021	10910001	21	10021	1050
10910022	10910001	22	10022	1100
10910023	10910001	23	10023	1150
10910024	10910001	24	10024	1200
10910025	10910001	25	10025	1250
10910026	10910001	26	10026	1300
10910027	10910001	27	10027	1350
10910028	10910001	28	10028	1400
10910029	10910001	29	10029	1450
10910030	10910001	30	10030	1500
10910031	10910001	31	10031	1550
10910032	10910001	32	10032	1600
10910033	10910001	33	10033	1650
10910034	10910001	34	10034	1700
10910035	10910001	35	10035	1750
10910036	10910001	36	10036	1800
10910037	10910001	37	10037	1850
10910038	10910001	38	10038	1900
10910039	10910001	39	10039	1950
10910040	10910001	40	10040	2000
10910041	10910001	41	10041	2050
10910042	10910001	42	10042	2100
10910043	10910001	43	10043	2150
10910044	10910001	44	10044	2200
10910045	10910001	45	10045	2250
10910046	10910001	46	10046	2300
10910047	10910001	47	10047	2350
10910048	10910001	48	10048	2400
10910049	10910001	49	10049	2450
10910050	10910001	50	10050	2500
10910051	10910001	51	10051	2550
10910052	10910001	52	10052	2600
10910053	10910001	53	10053	2650
10910054	10910001	54	10054	2700
10910055	10910001	55	10055	2750
10910056	10910001	56	10056	2800
10910057	10910001	57	10057	2850
10910058	10910001	58	10058	2900
10910059	10910001	59	10059	2950
10910060	10910001	60	10060	3000
10910061	10910001	61	10061	3050
10910062	10910001	62	10062	3100
10910063	10910001	63	10063	3150
10910064	10910001	64	10064	3200
10910065	10910001	65	10065	3250
10910066	10910001	66	10066	3300
10910067	10910001	67	10067	3350
10910068	10910001	68	10068	3400
10910069	10910001	69	10069	3450
10910070	10910001	70	10070	3500
10910071	10910001	71	10071	3550
10910072	10910001	72	10072	3600
10910073	10910001	73	10073	3650
10910074	10910001	74	10074	3700
10910075	10910001	75	10075	3750
10910076	10910001	76	10076	3800
10910077	10910001	77	10077	3850
10910078	10910001	78	10078	3900
10910079	10910001	79	10079	3950
10910080	10910001	80	10080	4000
