等级（角色等级）	client_name	升星概率百分比{10,10,30,30,20}总和需等于100	可接取的日常任务[id,id,id]	prizeId[Prize_Id,Prize_Id,Prize_Id,Prize_Id,Prize_Id]
45	45级玩家升星概率	[20,20,30,20,10]	[31001,31002,31003,31004,31005,31006,31007,31008,31009,31010,31011,31012,31013,31014,31015,31016,31017,31018,31019,31020,31021,31022]	[31001,31002,31003,31004,31005]
46	46级玩家升星概率	[20,20,30,20,10]	[31001,31002,31003,31004,31005,31006,31007,31008,31009,31010,31011,31012,31013,31014,31015,31016,31017,31018,31019,31020,31021,31022]	[31001,31002,31003,31004,31005]
47	47级玩家升星概率	[20,20,30,20,10]	[31001,31002,31003,31004,31005,31006,31007,31008,31009,31010,31011,31012,31013,31014,31015,31016,31017,31018,31019,31020,31021,31022]	[31001,31002,31003,31004,31005]
48	48级玩家升星概率	[20,20,30,20,10]	[31001,31002,31003,31004,31005,31006,31007,31008,31009,31010,31011,31012,31013,31014,31015,31016,31017,31018,31019,31020,31021,31022]	[31001,31002,31003,31004,31005]
49	49级玩家升星概率	[20,20,30,20,10]	[31001,31002,31003,31004,31005,31006,31007,31008,31009,31010,31011,31012,31013,31014,31015,31016,31017,31018,31019,31020,31021,31022]	[31001,31002,31003,31004,31005]
50	50级玩家升星概率	[20,20,30,20,10]	[31001,31002,31003,31004,31005,31006,31007,31008,31009,31010,31011,31012,31013,31014,31015,31016,31017,31018,31019,31020,31021,31022]	[31001,31002,31003,31004,31005]
51	51级玩家升星概率	[20,20,30,20,10]	[31001,31002,31003,31004,31005,31006,31007,31008,31009,31010,31011,31012,31013,31014,31015,31016,31017,31018,31019,31020,31021,31022]	[31001,31002,31003,31004,31005]
52	52级玩家升星概率	[20,20,30,20,10]	[31001,31002,31003,31004,31005,31006,31007,31008,31009,31010,31011,31012,31013,31014,31015,31016,31017,31018,31019,31020,31021,31022]	[31001,31002,31003,31004,31005]
53	53级玩家升星概率	[20,20,30,20,10]	[31001,31002,31003,31004,31005,31006,31007,31008,31009,31010,31011,31012,31013,31014,31015,31016,31017,31018,31019,31020,31021,31022]	[31001,31002,31003,31004,31005]
54	54级玩家升星概率	[20,20,30,20,10]	[31001,31002,31003,31004,31005,31006,31007,31008,31009,31010,31011,31012,31013,31014,31015,31016,31017,31018,31019,31020,31021,31022]	[31001,31002,31003,31004,31005]
55	55级玩家升星概率	[20,20,30,20,10]	[31001,31002,31003,31004,31005,31006,31007,31008,31009,31010,31011,31012,31013,31014,31015,31016,31017,31018,31019,31020,31021,31022]	[31001,31002,31003,31004,31005]
56	56级玩家升星概率	[20,20,30,20,10]	[31001,31002,31003,31004,31005,31006,31007,31008,31009,31010,31011,31012,31013,31014,31015,31016,31017,31018,31019,31020,31021,31022]	[31001,31002,31003,31004,31005]
57	57级玩家升星概率	[20,20,30,20,10]	[31001,31002,31003,31004,31005,31006,31007,31008,31009,31010,31011,31012,31013,31014,31015,31016,31017,31018,31019,31020,31021,31022]	[31001,31002,31003,31004,31005]
58	58级玩家升星概率	[20,20,30,20,10]	[31001,31002,31003,31004,31005,31006,31007,31008,31009,31010,31011,31012,31013,31014,31015,31016,31017,31018,31019,31020,31021,31022]	[31001,31002,31003,31004,31005]
59	59级玩家升星概率	[20,20,30,20,10]	[31001,31002,31003,31004,31005,31006,31007,31008,31009,31010,31011,31012,31013,31014,31015,31016,31017,31018,31019,31020,31021,31022]	[31001,31002,31003,31004,31005]
60	60级玩家升星概率	[20,20,30,20,10]	[31001,31002,31003,31004,31005,31006,31007,31008,31009,31010,31011,31012,31013,31014,31015,31016,31017,31018,31019,31020,31021,31022]	[31001,31002,31003,31004,31005]
61	61级玩家升星概率	[20,20,30,20,10]	[31001,31002,31003,31004,31005,31006,31007,31008,31009,31010,31011,31012,31013,31014,31015,31016,31017,31018,31019,31020,31021,31022]	[31001,31002,31003,31004,31005]
62	62级玩家升星概率	[20,20,30,20,10]	[31001,31002,31003,31004,31005,31006,31007,31008,31009,31010,31011,31012,31013,31014,31015,31016,31017,31018,31019,31020,31021,31022]	[31001,31002,31003,31004,31005]
63	63级玩家升星概率	[20,20,30,20,10]	[31001,31002,31003,31004,31005,31006,31007,31008,31009,31010,31011,31012,31013,31014,31015,31016,31017,31018,31019,31020,31021,31022]	[31001,31002,31003,31004,31005]
64	64级玩家升星概率	[20,20,30,20,10]	[31001,31002,31003,31004,31005,31006,31007,31008,31009,31010,31011,31012,31013,31014,31015,31016,31017,31018,31019,31020,31021,31022]	[31001,31002,31003,31004,31005]
65	65级玩家升星概率	[20,20,30,20,10]	[31001,31002,31003,31004,31005,31006,31007,31008,31009,31010,31011,31012,31013,31014,31015,31016,31017,31018,31019,31020,31021,31022]	[31001,31002,31003,31004,31005]
66	66级玩家升星概率	[20,20,30,20,10]	[31001,31002,31003,31004,31005,31006,31007,31008,31009,31010,31011,31012,31013,31014,31015,31016,31017,31018,31019,31020,31021,31022]	[31001,31002,31003,31004,31005]
67	67级玩家升星概率	[20,20,30,20,10]	[31001,31002,31003,31004,31005,31006,31007,31008,31009,31010,31011,31012,31013,31014,31015,31016,31017,31018,31019,31020,31021,31022]	[31001,31002,31003,31004,31005]
68	68级玩家升星概率	[20,20,30,20,10]	[31001,31002,31003,31004,31005,31006,31007,31008,31009,31010,31011,31012,31013,31014,31015,31016,31017,31018,31019,31020,31021,31022]	[31001,31002,31003,31004,31005]
69	69级玩家升星概率	[20,20,30,20,10]	[31001,31002,31003,31004,31005,31006,31007,31008,31009,31010,31011,31012,31013,31014,31015,31016,31017,31018,31019,31020,31021,31022]	[31001,31002,31003,31004,31005]
70	70级玩家升星概率	[20,20,30,20,10]	[31001,31002,31003,31004,31005,31006,31007,31008,31009,31010,31011,31012,31013,31014,31015,31016,31017,31018,31019,31020,31021,31022]	[31001,31002,31003,31004,31005]
71	71级玩家升星概率	[20,20,30,20,10]	[31001,31002,31003,31004,31005,31006,31007,31008,31009,31010,31011,31012,31013,31014,31015,31016,31017,31018,31019,31020,31021,31022]	[31001,31002,31003,31004,31005]
72	72级玩家升星概率	[20,20,30,20,10]	[31001,31002,31003,31004,31005,31006,31007,31008,31009,31010,31011,31012,31013,31014,31015,31016,31017,31018,31019,31020,31021,31022]	[31001,31002,31003,31004,31005]
73	73级玩家升星概率	[20,20,30,20,10]	[31001,31002,31003,31004,31005,31006,31007,31008,31009,31010,31011,31012,31013,31014,31015,31016,31017,31018,31019,31020,31021,31022]	[31001,31002,31003,31004,31005]
74	74级玩家升星概率	[20,20,30,20,10]	[31001,31002,31003,31004,31005,31006,31007,31008,31009,31010,31011,31012,31013,31014,31015,31016,31017,31018,31019,31020,31021,31022]	[31001,31002,31003,31004,31005]
75	75级玩家升星概率	[20,20,30,20,10]	[31001,31002,31003,31004,31005,31006,31007,31008,31009,31010,31011,31012,31013,31014,31015,31016,31017,31018,31019,31020,31021,31022]	[31001,31002,31003,31004,31005]
76	76级玩家升星概率	[20,20,30,20,10]	[31001,31002,31003,31004,31005,31006,31007,31008,31009,31010,31011,31012,31013,31014,31015,31016,31017,31018,31019,31020,31021,31022]	[31001,31002,31003,31004,31005]
77	77级玩家升星概率	[20,20,30,20,10]	[31001,31002,31003,31004,31005,31006,31007,31008,31009,31010,31011,31012,31013,31014,31015,31016,31017,31018,31019,31020,31021,31022]	[31001,31002,31003,31004,31005]
78	78级玩家升星概率	[20,20,30,20,10]	[31001,31002,31003,31004,31005,31006,31007,31008,31009,31010,31011,31012,31013,31014,31015,31016,31017,31018,31019,31020,31021,31022]	[31001,31002,31003,31004,31005]
79	79级玩家升星概率	[20,20,30,20,10]	[31001,31002,31003,31004,31005,31006,31007,31008,31009,31010,31011,31012,31013,31014,31015,31016,31017,31018,31019,31020,31021,31022]	[31001,31002,31003,31004,31005]
80	80级玩家升星概率	[20,20,30,20,10]	[31001,31002,31003,31004,31005,31006,31007,31008,31009,31010,31011,31012,31013,31014,31015,31016,31017,31018,31019,31020,31021,31022]	[31001,31002,31003,31004,31005]
81	81级玩家升星概率	[20,20,30,20,10]	[31001,31002,31003,31004,31005,31006,31007,31008,31009,31010,31011,31012,31013,31014,31015,31016,31017,31018,31019,31020,31021,31022]	[31001,31002,31003,31004,31005]
82	82级玩家升星概率	[20,20,30,20,10]	[31001,31002,31003,31004,31005,31006,31007,31008,31009,31010,31011,31012,31013,31014,31015,31016,31017,31018,31019,31020,31021,31022]	[31001,31002,31003,31004,31005]
83	83级玩家升星概率	[20,20,30,20,10]	[31001,31002,31003,31004,31005,31006,31007,31008,31009,31010,31011,31012,31013,31014,31015,31016,31017,31018,31019,31020,31021,31022]	[31001,31002,31003,31004,31005]
84	84级玩家升星概率	[20,20,30,20,10]	[31001,31002,31003,31004,31005,31006,31007,31008,31009,31010,31011,31012,31013,31014,31015,31016,31017,31018,31019,31020,31021,31022]	[31001,31002,31003,31004,31005]
85	85级玩家升星概率	[20,20,30,20,10]	[31001,31002,31003,31004,31005,31006,31007,31008,31009,31010,31011,31012,31013,31014,31015,31016,31017,31018,31019,31020,31021,31022]	[31001,31002,31003,31004,31005]
86	86级玩家升星概率	[20,20,30,20,10]	[31001,31002,31003,31004,31005,31006,31007,31008,31009,31010,31011,31012,31013,31014,31015,31016,31017,31018,31019,31020,31021,31022]	[31001,31002,31003,31004,31005]
87	87级玩家升星概率	[20,20,30,20,10]	[31001,31002,31003,31004,31005,31006,31007,31008,31009,31010,31011,31012,31013,31014,31015,31016,31017,31018,31019,31020,31021,31022]	[31001,31002,31003,31004,31005]
88	88级玩家升星概率	[20,20,30,20,10]	[31001,31002,31003,31004,31005,31006,31007,31008,31009,31010,31011,31012,31013,31014,31015,31016,31017,31018,31019,31020,31021,31022]	[31001,31002,31003,31004,31005]
89	89级玩家升星概率	[20,20,30,20,10]	[31001,31002,31003,31004,31005,31006,31007,31008,31009,31010,31011,31012,31013,31014,31015,31016,31017,31018,31019,31020,31021,31022]	[31001,31002,31003,31004,31005]
90	90级玩家升星概率	[20,20,30,20,10]	[31001,31002,31003,31004,31005,31006,31007,31008,31009,31010,31011,31012,31013,31014,31015,31016,31017,31018,31019,31020,31021,31022]	[31001,31002,31003,31004,31005]
91	91级玩家升星概率	[20,20,30,20,10]	[31001,31002,31003,31004,31005,31006,31007,31008,31009,31010,31011,31012,31013,31014,31015,31016,31017,31018,31019,31020,31021,31022]	[31001,31002,31003,31004,31005]
92	92级玩家升星概率	[20,20,30,20,10]	[31001,31002,31003,31004,31005,31006,31007,31008,31009,31010,31011,31012,31013,31014,31015,31016,31017,31018,31019,31020,31021,31022]	[31001,31002,31003,31004,31005]
93	93级玩家升星概率	[20,20,30,20,10]	[31001,31002,31003,31004,31005,31006,31007,31008,31009,31010,31011,31012,31013,31014,31015,31016,31017,31018,31019,31020,31021,31022]	[31001,31002,31003,31004,31005]
94	94级玩家升星概率	[20,20,30,20,10]	[31001,31002,31003,31004,31005,31006,31007,31008,31009,31010,31011,31012,31013,31014,31015,31016,31017,31018,31019,31020,31021,31022]	[31001,31002,31003,31004,31005]
95	95级玩家升星概率	[20,20,30,20,10]	[31001,31002,31003,31004,31005,31006,31007,31008,31009,31010,31011,31012,31013,31014,31015,31016,31017,31018,31019,31020,31021,31022]	[31001,31002,31003,31004,31005]
96	96级玩家升星概率	[20,20,30,20,10]	[31001,31002,31003,31004,31005,31006,31007,31008,31009,31010,31011,31012,31013,31014,31015,31016,31017,31018,31019,31020,31021,31022]	[31001,31002,31003,31004,31005]
97	97级玩家升星概率	[20,20,30,20,10]	[31001,31002,31003,31004,31005,31006,31007,31008,31009,31010,31011,31012,31013,31014,31015,31016,31017,31018,31019,31020,31021,31022]	[31001,31002,31003,31004,31005]
98	98级玩家升星概率	[20,20,30,20,10]	[31001,31002,31003,31004,31005,31006,31007,31008,31009,31010,31011,31012,31013,31014,31015,31016,31017,31018,31019,31020,31021,31022]	[31001,31002,31003,31004,31005]
99	99级玩家升星概率	[20,20,30,20,10]	[31001,31002,31003,31004,31005,31006,31007,31008,31009,31010,31011,31012,31013,31014,31015,31016,31017,31018,31019,31020,31021,31022]	[31001,31002,31003,31004,31005]
100	100级玩家升星概率	[20,20,30,20,10]	[31001,31002,31003,31004,31005,31006,31007,31008,31009,31010,31011,31012,31013,31014,31015,31016,31017,31018,31019,31020,31021,31022]	[31001,31002,31003,31004,31005]
